t,pX,pY,pZ,aX,aY,aZ,reX,reY,reZ,rtX,rtY,rtZ,ID
2.3,-43.30571,1.101702,-38.82837,2.8967115520883144,-0.0496337769701546,2.494285932883701,14.63772,356.356,163.6092,-0.01306312,-0.1305218,0.9818046,4
2.32,-43.30647,1.301532,-38.82785,2.939063967227045,-0.0806995806093425,2.504042712388001,14.65486,356.3618,163.6321,-0.0130179,-0.1306589,0.9818145,4
2.34,-43.29435,1.155047,-38.80702,2.9776503521362105,-0.0857900513068989,2.510920585783576,14.7677,0.04482641,163.6536,0.01865458,-0.1271555,0.9816274,4
2.36,-43.29541,1.354795,-38.80618,3.0121774167787123,-0.0667741835579309,2.514709778809104,14.79334,0.05338883,163.6872,0.01872216,-0.1273701,0.9816387,4
2.38,-43.25872,1.15629,-38.73445,3.052262038604674,-0.0913824931039057,2.5136013058829736,17.93294,1.982244,165.486,0.03663408,-0.1524265,0.97938,4
2.4,-43.27158,1.351704,-38.71353,3.08945746917002,-0.0914258815375543,2.5105462619434062,18.55555,2.11879,165.9222,0.03786271,-0.1577425,0.9789474,4
2.42,-43.15898,1.173937,-38.61194,3.1260047184123607,-0.1134200902388359,2.503517964881844,16.79142,7.950102,167.8586,0.0835987,-0.1375882,0.9802988,4
2.44,-43.15533,1.368803,-38.58023,3.1593245341174896,-0.1110836398319453,2.49426477914064,17.75535,7.9578,167.8845,0.08442181,-0.1458588,0.979005,4
2.46,-43.15168,1.563411,-38.54861,3.1890079861862946,-0.086312832254329,2.4825291972443315,18.72169,7.965508,167.9091,0.08523879,-0.154139,0.9776372,4
2.48,-43.01241,1.194647,-38.43691,3.2081630033441995,-0.1089692500091827,2.460954091989632,9.667867,16.63896,170.9259,0.1503219,-0.0717149,0.9819032,4
2.5,-42.9924,1.380521,-38.36826,3.2243843901887788,-0.1075890197245911,2.437569417714108,11.81261,16.64182,170.9412,0.1515402,-0.09013309,0.9799707,4
2.52,-42.80993,1.218296,-38.22543,3.2411551317974734,-0.1281266160884538,2.413684298191296,2.302855,24.9089,174.2344,0.2163338,-0.008752869,0.9748172,4
