t,pX,pY,pZ,aX,aY,aZ,reX,reY,reZ,rtX,rtY,rtZ,ID
6.36,-44.34163,1.091897,-37.79684,1.787663683852232,-0.0683490326476423,0.2791395213262726,15.3912,357.9301,165.0562,-0.0003365446,-0.135079,0.9827331,17
6.38,-44.42659,1.276341,-37.80198,1.8217559662958047,-0.1200064182605631,0.3068932492975875,15.48718,357.577,167.7456,-0.006452378,-0.1361766,0.9853044,17
6.4,-44.49024,1.471961,-37.90441,1.849547153467059,-0.1438454973997746,0.3411487302426108,12.92913,356.745,169.6949,-0.01799991,-0.114623,0.9895145,17
6.42,-44.25124,1.161492,-37.93402,1.870730762404758,-0.1415728701084916,0.3812973967369011,12.83277,358.9137,163.6823,0.006534141,-0.1119539,0.983784,17
6.44,-44.23801,1.366271,-37.97199,1.9068012869329296,-0.1833336772286108,0.4243654862414372,12.03555,356.6134,163.151,-0.01371706,-0.1079659,0.9837829,17
6.46,-44.21465,1.571296,-37.99525,1.935365601388359,-0.1986632530759734,0.475100380690324,11.59668,354.3527,162.3293,-0.03293009,-0.1072352,0.9826491,17
6.48,-44.18796,1.158577,-37.82054,1.956042970952832,-0.1892758482875235,0.5326868706357502,18.63068,359.6665,166.6513,0.01596117,-0.1611041,0.9801751,17
6.5,-44.17799,1.359503,-37.8189,1.968502965952882,-0.1568164901015613,0.5962898908463705,18.94539,357.4072,166.0893,-0.002227335,-0.166027,0.9793056,17
6.52,-44.17234,1.560078,-37.81807,1.9876816985034704,-0.1973038213304025,0.6438302351149563,19.22793,355.2172,165.6235,-0.01993678,-0.1706999,0.9782262,17
6.54,-44.04242,1.190489,-37.69437,1.9988091284937468,-0.2118890743160102,0.6997036736867059,12.09504,5.531116,170.2899,0.05671491,-0.1007922,0.9892829,17
6.56,-44.03317,1.389994,-37.68704,2.001510050499133,-0.2023115387497762,0.7629512945652657,12.53646,3.267686,169.7227,0.03800288,-0.1061617,0.9893456,17
6.58,-44.02887,1.589561,-37.68262,2.013486338362065,-0.2401489379094546,0.8191052971728645,12.87356,1.151343,169.2752,0.02041655,-0.1106776,0.9891923,17
6.6,-44.05543,1.787029,-37.68199,2.016496853291322,-0.2528283721292911,0.8840572863751968,12.61632,3.74926,170.4163,0.04157459,-0.1067171,0.9896412,17
6.62,-43.90334,1.22857,-37.50738,2.010168724476169,-0.242096036674159,0.95667589032585,0.7643225,14.39917,174.881,0.1254938,-0.001014175,0.9910665,17
6.64,-43.89883,1.420202,-37.46841,2.011114102566242,-0.2797653619733367,1.0186598271546927,1.839882,14.16237,174.9801,0.1238392,-0.01051963,0.991206,17
6.66,-43.89726,1.6129,-37.43656,2.0019754122837217,-0.2924523535736977,1.0892057729543012,2.718464,13.9844,175.1236,0.1225914,-0.01834583,0.9912624,17
6.68,-43.62165,1.28822,-37.31471,1.9824760854235564,-0.2819090078056544,1.167078223534575,353.2755,24.02792,179.4976,0.2075382,0.05827443,0.9764575,17
6.7,-43.6059,1.475972,-37.26918,1.952416498368312,-0.2497877420525819,1.2510198381415014,354.4663,24.14539,179.6691,0.2087716,0.04780745,0.9767682,17
6.72,-43.51501,1.277574,-37.33967,1.9286246862916407,-0.2926798270349241,1.3002275301842845,354.9136,30.46741,180.9765,0.2628533,0.04057485,0.9637775,17
6.74,-43.49239,1.469473,-37.30833,1.8950576302713644,-0.3096828223658689,1.35764451345886,355.8472,30.72569,180.984,0.2650472,0.03266302,0.9635163,17
6.76,-43.4754,1.66272,-37.28203,1.8515635427129384,-0.3025766823401025,1.422066074118641,356.5789,31.13696,181.08,0.2685294,0.02622538,0.9627629,17
6.78,-43.45831,1.856021,-37.25741,1.8146461676516263,-0.3449832929897461,1.4594090257181858,357.2982,31.51049,181.1352,0.2716645,0.01999969,0.9620522,17
6.8,-43.35134,1.256821,-37.33933,1.7686230953272473,-0.3606383552121319,1.5049308157612566,3.898714,40.0778,182.2772,0.3417571,-0.0387554,0.9389628,17
6.82,-43.31858,1.446761,-37.30582,1.7134034728510068,-0.3513655008850098,1.5574967191248676,5.200669,40.2946,182.2408,0.3431816,-0.04931241,0.9379698,17
6.84,-43.28421,1.636471,-37.27268,1.6636127287851838,-0.3943879359668977,1.5791706089581543,6.476942,40.5859,182.182,0.3451948,-0.05956899,0.9366372,17
