t,pX,pY,pZ,aX,aY,aZ,reX,reY,reZ,rtX,rtY,rtZ,ID
0.72,-45.30571,1.101702,-35.82837,3.747195478551025,-0.1032075424563562,0.838750030634956,14.63778,356.356,163.6092,-0.01306318,-0.1305223,0.9818046,3
0.74,-45.29375,1.155064,-35.80761,3.8015621933492776,-0.1061751861653305,0.7914378590979689,14.71809,0.1072711,163.6342,0.01915001,-0.1266505,0.9816482,3
0.76,-45.29457,1.354868,-35.80694,3.859525633039895,-0.1284016814019475,0.7367200218088579,14.73864,0.1138152,163.6599,0.01920286,-0.1268227,0.9816561,3
0.78,-45.29538,1.55467,-35.80626,3.914200962366065,-0.1260400887035576,0.6813538918206126,14.75939,0.1204004,163.6858,0.01925611,-0.1269967,0.9816637,3
0.8,-45.22437,1.160095,-35.70601,3.965018120038408,-0.1010056980000674,0.6254023512068034,18.32932,5.278003,166.2888,0.06412202,-0.1525399,0.9782614,3
0.82,-45.23465,1.354641,-35.67831,3.9986233155094215,-0.1219436909998251,0.5621394855141881,19.1384,5.41016,166.7003,0.06545453,-0.1595471,0.9774518,3
0.84,-45.09924,1.180454,-35.59608,4.029332509501367,-0.1186159675078881,0.4984579828693256,14.98665,13.22736,168.8393,0.1262466,-0.1178248,0.9787344,3
0.86,-45.08931,1.373149,-35.55413,4.0548972564386245,-0.1379318145409077,0.4312653255681802,16.28527,13.22699,168.8379,0.1271527,-0.1289406,0.9770837,3
0.88,-45.0794,1.565376,-35.51233,4.077273620003019,-0.1332418417457979,0.3637994404873961,17.58635,13.22625,168.8354,0.1280428,-0.1400598,0.9753032,3
0.9,-44.91791,1.202385,-35.44828,4.095910017908929,-0.1064466218183233,0.2961755273250732,6.876565,22.78168,171.9349,0.2007914,-0.04478257,0.9752826,3
0.92,-44.88714,1.384646,-35.37084,4.099003589402,-0.1257426267757587,0.2254857050590075,9.367565,22.78861,171.984,0.2020136,-0.06608872,0.9735001,3
0.94,-44.6726,1.22686,-35.28841,4.099274660769563,-0.1214937916409608,0.1551944711954753,0.7416664,31.30371,175.4901,0.2698221,0.004387637,0.9620845,3
0.96,-44.6164,1.393981,-35.17953,4.090121414491162,-0.1421031847904418,0.0831253565170104,4.365694,31.31504,175.7443,0.2708666,-0.02663647,0.9611484,3
0.98,-44.56121,1.557419,-35.0726,4.077898205020013,-0.1389730958249501,0.011906156070423,7.991692,31.34269,176.001,0.2716392,-0.05765118,0.9592451,3
1.0,-44.33724,1.269667,-35.09186,4.062110501178248,-0.1139721826268347,-0.0583634785458189,354.998,38.75098,179.9817,0.331435,0.0412182,0.9424683,3
1.02,-44.24835,1.415942,-34.95343,4.018695874450006,-0.1400496840091845,-0.1311888701655021,359.7708,38.72791,180.4868,0.3315721,0.0004782708,0.9434183,3
1.04,-44.13922,1.254625,-35.06121,3.969431036201459,-0.1661429035538704,-0.2034356742291443,357.4123,44.98964,181.2714,0.3827104,0.01661663,0.923526,3
1.06,-44.06409,1.419177,-34.96665,3.9185221748984063,-0.167613855731897,-0.274499508482342,0.9306507,44.9838,181.675,0.3823898,-0.01309417,0.9238501,3
1.08,-43.99039,1.580166,-34.87393,3.865529572668432,-0.1463696698627112,-0.34424555647381,4.448436,45.00268,182.077,0.3817041,-0.04278077,0.9232923,3
1.1,-43.92743,1.24032,-35.00747,3.783965403687266,-0.1744689658288593,-0.4134083254062979,4.015417,51.44213,182.2134,0.4330333,-0.03993377,0.9004901,3
1.12,-43.84101,1.406396,-34.91972,3.7020001891760894,-0.1771137120567665,-0.4810768892358457,7.624889,51.4869,182.6547,0.4318774,-0.06991436,0.8991823,3
1.14,-43.75775,1.226085,-34.99366,3.6019044151783524,-0.2067177126338673,-0.5471578625530613,10.29441,57.51846,183.4139,0.4766345,-0.09288769,0.8740126,3
1.16,-43.66608,1.396493,-34.91496,3.502015481967467,-0.2097737833751506,-0.6116071164447598,13.84665,57.62907,183.9427,0.4745454,-0.1220125,0.8712795,3
1.18,-43.57592,1.563328,-34.83755,3.399751752167868,-0.1877491539276257,-0.6728193507464004,17.39673,57.77584,184.4874,0.4719912,-0.1510086,0.8676928,3
1.2,-43.5926,1.19908,-34.97428,3.2657893273702543,-0.2192131274523351,-0.7330875528950553,14.72168,63.45589,183.9663,0.5174693,-0.1269546,0.8453716,3
1.22,-43.49595,1.375368,-34.90564,3.130537757096149,-0.222283409352028,-0.791191322152593,18.24452,63.62093,184.5477,0.514689,-0.1552712,0.8417035,3
1.24,-43.46365,1.174965,-34.96492,2.97938971567862,-0.2542458105036231,-0.8460949261623547,18.67071,67.26112,184.461,0.54083,-0.1562299,0.8244727,3
1.26,-43.36571,1.357151,-34.9038,2.8282688500226936,-0.2569152856464557,-0.8981204234008366,22.13607,67.47524,185.0749,0.5374581,-0.1836188,0.8200423,3
1.28,-43.3703,1.159812,-34.94612,2.677349110704351,-0.2322139451240532,-0.9470149884712812,21.49805,68.39109,184.5656,0.545575,-0.1761357,0.8161417,3
1.3,-43.27242,1.346003,-34.88927,2.503503779854864,-0.2647029187215851,-0.9935915561794556,24.92604,68.61761,185.14,0.541824,-0.2027607,0.8111904,3
1.32,-43.24194,1.137703,-34.91659,2.331924758446113,-0.2669393559861004,-1.0367643331944354,26.24272,69.69136,184.5225,0.5486661,-0.2081198,0.8037624,3
1.34,-43.14394,1.329241,-34.86502,2.151758234083774,-0.2975348307248943,-1.0769852193607257,29.6407,69.93488,185.042,0.5442888,-0.2337807,0.7978975,3
1.36,-43.04649,1.517759,-34.81376,1.9754564637011385,-0.297182408389572,-1.1134819347090392,33.03684,70.22216,185.5941,0.5394187,-0.2592193,0.7913227,3
1.38,-43.06825,1.123775,-34.86922,1.792055166975227,-0.3243832099374608,-1.147155815803572,32.08271,69.9536,183.9435,0.5428075,-0.2452427,0.7924635,3
