t,pX,pY,pZ,aX,aY,aZ,reX,reY,reZ,rtX,rtY,rtZ,ID
6.18,-43.2382,1.119297,-37.93441,2.07161850509085,-0.1350876237540465,0.1563147371346351,11.28515,358.2016,161.9552,-7.381197e-06,-0.09954304,0.9829627,14
6.2,-43.17895,1.332916,-38.04177,2.126714548104648,-0.1690363366150537,0.2886377378527767,7.951534,359.9859,160.3836,0.01168995,-0.0683421,0.9830137,14
6.22,-43.12547,1.542925,-38.15612,2.1761474425648446,-0.1787173201617248,0.429890130082291,4.421461,1.883291,158.841,0.02322409,-0.03489906,0.9820206,14
6.24,-43.08591,1.171885,-38.18463,2.2269666769725616,-0.2154625340320564,0.5674769413048066,11.47552,11.92056,162.2044,0.1174553,-0.08225784,0.9760964,14
6.26,-43.06269,1.382452,-38.27305,2.2663193352537983,-0.2232183043835063,0.6994661796347126,8.938604,13.1757,161.0646,0.125553,-0.05754182,0.9754156,14
6.28,-43.04145,1.591051,-38.36313,2.2958325789825142,-0.2040021255697372,0.8267135842723903,6.418709,14.30012,159.9005,0.1320599,-0.03301082,0.9742514,14
6.3,-42.92109,1.185561,-38.429,2.315812567272584,-0.1594333403931039,0.9491078836680408,13.95112,16.42429,164.394,0.1567879,-0.09983844,0.9709684,14
6.32,-42.92708,1.392271,-38.48923,2.342113334413852,-0.1960433035310526,1.0662813303102563,12.26366,15.51793,163.9871,0.1476669,-0.08611016,0.9735644,14
6.34,-42.93264,1.598086,-38.54974,2.358896881700601,-0.2038406962343444,1.176435081550597,10.56819,14.62952,163.6072,0.1385067,-0.07233714,0.9758865,14
6.36,-42.47161,1.215843,-38.47425,2.366238375130357,-0.1844134230101633,1.2794171655956994,11.47063,23.87414,160.4999,0.2193871,-0.06150709,0.9559165,14
6.38,-42.19789,1.412507,-38.59076,2.3763875573815234,-0.2189592029450973,1.3827305908845302,11.38078,21.10526,151.595,0.2005818,-0.04978492,0.9438873,14
6.4,-42.04339,1.602019,-38.65667,2.37736367955112,-0.2248868327440571,1.4798292853342163,10.92187,17.78742,146.3728,0.1745182,-0.04548635,0.9371935,14
6.42,-42.02439,1.227302,-38.42281,2.369152004014615,-0.203765736196938,1.5705346522729888,1.957643,31.99421,172.2336,0.2760281,0.00227739,0.95861,14
6.44,-41.97248,1.408978,-38.35968,2.3677136240258525,-0.2363053750266145,1.662356667141518,4.563553,29.14428,171.2039,0.253614,-0.01914117,0.9634485,14
6.46,-41.92332,1.589345,-38.29675,2.3577971081024103,-0.2405317845893294,1.748177130112989,7.098276,26.21679,170.0355,0.2307399,-0.0404051,0.9671829,14
6.48,-41.77896,1.264362,-38.18736,2.339153511018525,-0.2179565100430295,1.8295465169088976,357.161,32.2461,177.8778,0.2771276,0.0289351,0.9603353,14
6.5,-41.72129,1.417107,-38.0505,2.311747197571645,-0.170179898915326,1.9060702512355,1.671334,29.44479,177.6099,0.2543478,-0.008803082,0.9667779,14
6.52,-41.66924,1.564796,-37.91638,2.274677568849781,-0.2121756725360937,1.974799444257592,6.164905,26.61008,177.1207,0.2310445,-0.04653959,0.9711329,14
6.54,-41.80509,1.32525,-38.28422,2.2305806086111977,-0.2250251199308625,2.038294289173267,348.0534,32.06061,182.3354,0.2766277,0.09440098,0.9551134,14
6.56,-42.0001,1.554594,-38.458,2.180087980250716,-0.2104773568164589,2.096406930820092,341.58,28.65312,184.1589,0.2497243,0.146111,0.9543435,14
6.58,-42.18605,1.7654,-38.61182,2.1214603664899,-0.2527957068125114,2.145963093746487,335.9721,24.26964,186.6319,0.2170349,0.191265,0.9521103,14
6.6,-42.26153,1.973006,-38.76278,2.057510629140359,-0.2653276858813506,2.187636155969876,331.2694,25.66225,186.8411,0.2291848,0.2286411,0.939573,14
6.62,-41.97111,1.270394,-38.54102,1.988673717465168,-0.249791056690161,2.2216046584740825,2.122995,35.14912,182.0505,0.3015305,-0.02305984,0.9531088,14
6.64,-41.95752,1.467653,-38.5322,1.905872406208946,-0.2942402239655426,2.2504460980149377,2.479163,36.38604,182.1327,0.3117096,-0.02635729,0.9497491,14
6.66,-41.9444,1.664807,-38.52316,1.81875138942424,-0.3080960434424099,2.271623630959538,2.833292,37.63867,182.2475,0.3219656,-0.02972104,0.9462257,14
6.68,-41.89283,1.221315,-38.57193,1.7278185351450652,-0.2930799484005814,2.2852481227633623,11.13272,45.02469,184.0375,0.377684,-0.1029754,0.9201787,14
6.7,-41.87766,1.41385,-38.53579,1.633507476683434,-0.2508415108218139,2.291423323664365,12.14669,45.76077,184.5784,0.3824242,-0.1128422,0.9170595,14
6.72,-41.84138,1.192777,-38.59463,1.522047427194721,-0.2987150546010951,2.29205007965808,15.16075,50.53754,184.0522,0.4186524,-0.1341798,0.8978429,14
6.74,-41.81934,1.387237,-38.56309,1.408382255708986,-0.3151502022849098,2.285809029796421,16.21761,51.05233,184.4348,0.4213707,-0.143696,0.8950494,14
6.76,-41.7968,1.581259,-38.53149,1.2930232357978166,-0.3018550189401902,2.2727360123290152,17.2903,51.58057,184.8271,0.4240541,-0.1533358,0.892127,14
6.78,-41.77379,1.77484,-38.49981,1.165446012341608,-0.3492311909377465,2.254202007586451,18.37591,52.12083,185.2306,0.4266852,-0.1630793,0.8890828,14
6.8,-41.76887,1.156516,-38.59504,1.0372025500741824,-0.3644784099200684,2.229231286642271,21.56794,54.46515,184.1255,0.4432426,-0.1824394,0.8759695,14
6.82,-41.72023,1.35143,-38.55532,0.908837860949669,-0.3493099019499113,2.1979032375038665,23.43975,54.79205,184.2871,0.4434847,-0.1970712,0.8722255,14
6.84,-41.67253,1.545454,-38.51618,0.7757313912506838,-0.3933257024448667,2.16311229124758,25.28506,55.11422,184.4702,0.443505,-0.2114946,0.8683463,14
6.86,-41.69202,1.129565,-38.57621,0.6438438169992589,-0.4047388213981129,2.1224432166302574,28.63531,55.93602,183.7759,0.4469695,-0.2332677,0.8591332,14
6.88,-41.63516,1.328205,-38.54173,0.5136805439614811,-0.3852713683135679,2.0759370420264727,30.65458,56.13831,183.6711,0.446097,-0.2476577,0.8545429,14
6.9,-41.57827,1.525762,-38.50739,0.3857479417349703,-0.3366101455379496,2.02363398105222,32.67713,56.34037,183.5724,0.4450772,-0.2619913,0.8496775,14
6.92,-41.54824,1.116682,-38.52494,0.2617324873625568,-0.3748460618194709,1.966269101217562,38.50918,56.51445,182.7981,0.439723,-0.3012944,0.8351238,14
6.94,-41.48394,1.317234,-38.48978,0.142562818254003,-0.3800261639530429,1.903477870352595,40.75569,56.61124,182.5527,0.4375603,-0.3163993,0.8288038,14
6.96,-41.41957,1.516463,-38.45475,0.0286576201956352,-0.3539132663982941,1.8352869458917764,43.00499,56.6979,182.3033,0.4352194,-0.3313976,0.8221534,14
6.98,-41.35518,1.714367,-38.41986,-0.0735278105118997,-0.3837004784718739,1.7657629260997654,45.25691,56.77357,182.0488,0.4327013,-0.3462818,0.8151746,14
7.0,-41.33006,1.113311,-38.42794,-0.1682330991447633,-0.3802955770165653,1.691707120176514,45.82907,57.72333,180.4581,0.4432388,-0.3427691,0.8074213,14
7.02,-41.25048,1.314228,-38.38665,-0.2551129550344111,-0.3455097271580222,1.613096056043223,48.59628,57.71891,180.1082,0.4395664,-0.3607963,0.7984118,14
7.04,-41.17082,1.513156,-38.34552,-0.3129731234042019,-0.3671903933685602,1.5391919811697274,51.36538,57.68679,179.7371,0.435628,-0.3786233,0.788924,14
7.06,-41.03046,1.103773,-38.28736,-0.3625754714174496,-0.3560690484528005,1.460370891750661,56.33967,56.7095,176.2872,0.4319134,-0.401667,0.7681168,14
7.08,-40.95364,1.300918,-38.25147,-0.4036047833720468,-0.313954483512583,1.3766085095159015,58.97692,55.98377,175.524,0.4252073,-0.4183767,0.7590157,14
7.1,-40.87719,1.496284,-38.21565,-0.4357240686872377,-0.2426323670348002,1.2880563513303305,61.60896,55.1292,174.6398,0.4182568,-0.4348987,0.7495099,14
7.12,-40.65046,1.119328,-38.11563,-0.4402080941885637,-0.2503427627745461,1.204538037762787,61.50929,47.40445,167.3868,0.394794,-0.4274468,0.7595326,14
7.14,-40.56565,1.307373,-38.07544,-0.4352202238995835,-0.2263013935034085,1.1161903600481606,64.30062,45.50202,165.3474,0.3873304,-0.444979,0.7481633,14
7.16,-40.4815,1.493262,-38.0355,-0.4204450741972882,-0.1722953784244582,1.022941699088392,67.05497,43.13183,162.8417,0.3796138,-0.4622135,0.7363029,14
7.18,-40.30382,1.135655,-37.84666,-0.3784873355907567,-0.1604888408032496,0.9333652031749552,59.19658,48.61208,171.8711,0.3889043,-0.4236356,0.7760337,14
