t,pX,pY,pZ,aX,aY,aZ,reX,reY,reZ,rtX,rtY,rtZ,ID
5.94,-45.30571,1.101702,-38.82837,-0.5906500344411558,-0.0987105036034196,1.4565624546535352,14.63782,356.3559,163.6092,-0.01306371,-0.1305227,0.9818045,13
5.96,-45.30647,1.301532,-38.82785,-0.5080656880567647,-0.0979597492875547,1.5165991436451094,14.65499,356.3617,163.6321,-0.01301844,-0.1306601,0.9818143,13
5.98,-45.30723,1.501359,-38.82734,-0.4204295183861228,-0.0728068606977243,1.5756911253732495,14.67229,356.3676,163.6552,-0.01297283,-0.1307985,0.9818242,13
6.0,-45.30799,1.701187,-38.82682,-0.3206955212856659,-0.1177519178533558,1.637613933873414,14.68954,356.3734,163.6782,-0.01292727,-0.1309367,0.9818341,13
6.02,-45.27988,1.155075,-38.7854,-0.2155902503359321,-0.1360884825492331,1.6986660290886508,14.81952,4.200177,163.6748,0.05426959,-0.1224127,0.9802727,13
6.04,-45.28092,1.354814,-38.78447,-0.1056887856035322,-0.1296392207755404,1.758420929764303,14.84552,4.20914,163.7098,0.05433965,-0.1226406,0.9802827,13
6.06,-45.20138,1.159214,-38.69251,0.0133293880584988,-0.1676206811146081,1.817970347584449,18.58203,8.025515,166.4371,0.08759497,-0.1517716,0.9762402,13
6.08,-45.21242,1.352653,-38.65939,0.1375009591276592,-0.1800096775528026,1.876669205191492,19.53233,8.189542,166.9394,0.08915725,-0.1600935,0.9752374,13
6.1,-45.22343,1.545777,-38.62636,0.2661591147776185,-0.1686596385797456,1.93403417498374,20.48332,8.363788,167.4487,0.09071504,-0.16842,0.974148,13
6.12,-45.06265,1.188181,-38.52427,0.3972349853572563,-0.2040974114832505,1.9917430192547905,12.60213,15.61308,169.9712,0.1439956,-0.09651898,0.9796755,13
6.14,-45.05082,1.378608,-38.47411,0.5329351219042948,-0.2143557254928375,2.047832034781152,14.14917,15.62863,170.0384,0.1450122,-0.1098421,0.9780049,13
6.16,-45.03904,1.568374,-38.4242,0.6725344276372907,-0.2013017842620491,2.1018386844466628,15.69856,15.64565,170.1045,0.1460015,-0.1231634,0.9761515,13
6.18,-44.90344,1.210044,-38.319,0.8047771998871154,-0.2345936322361114,2.1528447547852787,3.814911,22.62909,173.0637,0.1977017,-0.02071656,0.9778318,13
6.2,-44.86934,1.387533,-38.22753,0.9411224026541128,-0.2434084319056845,2.2027903758465044,6.724494,22.63935,173.1754,0.1990205,-0.045743,0.9764389,13
6.22,-44.8424,1.565244,-38.14626,1.08080831013691,-0.2296241832923604,2.2511326535351577,9.241689,23.27034,173.5423,0.2051489,-0.06745845,0.9738033,13
6.24,-44.72691,1.28063,-38.02991,1.195850588493828,-0.2635535726619103,2.2894519149301784,355.0386,29.6402,179.3572,0.2553065,0.04327539,0.9658749,13
6.26,-44.69511,1.454336,-37.9455,1.3061074739767644,-0.2700706590364533,2.3230242219038786,357.2245,33.37524,180.9229,0.2872469,0.02088556,0.9575167,13
6.28,-44.66085,1.626466,-37.86478,1.4117064236490204,-0.2508559840566776,2.3517547548657776,359.3066,37.16057,182.6246,0.3186752,-0.001563176,0.9475682,13
6.3,-44.57213,1.260975,-37.8883,1.512721727063984,-0.2075322037917294,2.375533687584851,355.7358,38.65841,181.1158,0.3310925,0.03188407,0.9428146,13
