t,pX,pY,pZ,aX,aY,aZ,reX,reY,reZ,rtX,rtY,rtZ,ID
7.18,-41.34165,1.103142,-38.91783,1.909355422985663,-0.09651924878405,0.8131876465844909,12.11248,357.6777,164.7896,-0.006013439,-0.1072219,0.9857519,20
7.2,-41.38166,1.302233,-39.00745,1.962368807133907,-0.1230340794504431,0.8690972969441733,9.489589,358.9583,166.0323,0.001065297,-0.08320202,0.9892294,20
7.22,-41.46065,1.493613,-39.14329,2.0120125433521734,-0.1226355170071057,0.9243963014305968,5.689781,359.2723,168.334,-0.001265277,-0.05001887,0.9936083,20
7.24,-41.60336,1.153835,-39.32499,2.0747257681298352,-0.1666623381643811,0.986688461257641,14.00718,5.27521,164.4411,0.06174208,-0.1144987,0.9816023,20
7.26,-41.62416,1.351586,-39.3344,2.1340152427654973,-0.1833628239182677,1.04866770744038,13.74649,4.969812,165.0235,0.05825897,-0.1129314,0.9827446,20
7.28,-41.6449,1.549225,-39.34393,2.189668028203913,-0.1744690348820259,1.1100489763497157,13.48472,4.662325,165.6062,0.054772,-0.111323,0.9838465,20
7.3,-41.66557,1.746749,-39.35355,2.2414825183336857,-0.1416677510414778,1.1705580129758042,13.22209,4.352867,166.1896,0.05128226,-0.1096756,0.9849082,20
7.32,-41.49402,1.164247,-39.18917,2.2900220541833267,-0.1834037711597687,1.22413412044377,18.30428,11.25862,167.414,0.1136103,-0.1467205,0.974878,20
7.34,-41.50544,1.356614,-39.15184,2.3361189217227327,-0.1984504495569067,1.2776776658320277,19.40662,10.98356,167.9346,0.1114436,-0.1569296,0.9740407,20
7.36,-41.51693,1.548601,-39.11471,2.37948180741163,-0.1885662111901803,1.3308637771330432,20.5139,10.7175,168.4526,0.1092677,-0.1671402,0.9730755,20
7.38,-41.29431,1.196159,-39.01807,2.421648204805232,-0.2278273438711251,1.3826058822401697,9.462352,22.18068,171.0164,0.1974512,-0.06567854,0.973735,20
7.4,-41.2761,1.383838,-38.95965,2.461609404808711,-0.2408878850765905,1.4342135418639463,11.33559,21.75053,171.0822,0.194721,-0.08209674,0.972833,20
7.42,-41.25822,1.570591,-38.90157,2.499030341933838,-0.2295155521265608,1.4853341436442715,13.21163,21.31962,171.1323,0.1919392,-0.09850914,0.9716519,20
