pX,pY,pZ,aX,aY,aZ,reX,reY,reZ,rtX,rtY,rtZ,t,ID
-45.00161,0.23,-37.94738,4.828704674922761,-0.1201400925538719,9.170482126103188,2.7636,359.3717,0.05672191,0.02411154,-0.005493222,0.0006270582,4.8199998922646,12
-45.00059,0.4300001,-37.92547,5.095318153405628,-0.2916103888581768,9.348176968916968,4.001981,358.7344,359.9804,0.03491653,-0.01103155,0.0002150063,4.83999989181757,12
-44.99958,0.6300001,-37.90358,5.288545214912332,-0.2456352570057289,9.423901499658186,5.24202,358.0948,359.8891,0.04573903,-0.01656304,-0.0002065351,4.85999989137053,12
-44.99858,0.83,-37.88171,5.581295534198155,-0.6468175766679988,9.491092515396808,6.483483,357.4525,359.7831,0.0565768,-0.02208673,-0.0006320262,4.8799998909235,12
-44.99955,0.2833333,-37.89198,5.789238296208687,-0.8012477543704362,9.45341612408552,0.2615832,2.797622,0.03028098,0.002288512,0.02441076,0.000208447,4.89999989047647,12
-44.99954,0.4833333,-37.87381,5.916211692243408,-0.7342597264161502,9.316393010050412,1.179577,1.550691,0.03438217,0.01029669,0.01352811,0.000160706,4.91999989002943,12
-44.98581,0.2833332,-37.83997,6.1427249419554855,-1.1104565048082105,9.192231351192277,1.128896,5.347866,0.532773,0.01005737,0.04660348,0.004184439,4.9399998895824,12
-44.9931,0.4833332,-37.81933,6.27718593680342,-1.2359290414280877,8.966587256108632,2.268559,4.140893,1.041672,0.02011023,0.03593985,0.008367313,4.95999988913536,12
-45.00038,0.6833332,-37.7987,6.324428752652402,-1.1360110063475857,8.646356237721562,3.41954,2.944274,1.529746,0.03016698,0.02527892,0.01257235,4.97999988868833,12
-45.00764,0.883333,-37.7781,6.406739311128391,-1.4753051730418454,8.293370213123048,4.582181,1.757139,1.99527,0.04023242,0.01462279,0.01678229,4.99999988824129,12
-44.94993,0.2833333,-37.72723,6.399386788116338,-1.5599023882414278,7.854468687345751,1.701439,9.738318,0.1628712,0.01491435,0.08485013,0.0001557856,5.01999988779426,12
