pX,pY,pZ,aX,aY,aZ,reX,reY,reZ,rtX,rtY,rtZ,t,ID
-44.00041,0.23,-39.99972,4.766365106293605,-0.0931573094260983,2.801888090521849,0.015688,0.009945458,0.02319611,0.0001369212,8.676278e-05,0.0002024124,1.51999996602535,4
-44.00082,0.43,-39.99944,5.086214523564195,0.0212923650155204,2.964211768904697,0.03141034,0.009954995,0.04639574,0.0002741421,8.676272e-05,0.0004048554,1.53999996557832,4
-44.00122,0.63,-39.99916,5.526704978091416,-0.3187334058443534,3.1568063132535897,0.04725206,0.009971042,0.06977171,0.0004124048,8.676267e-05,0.000608837,1.55999996513128,4
-44.00158,0.2833333,-39.99885,5.884227014482192,-0.4193254420783012,3.3164913657942705,0.02329003,4.812919,0.03418209,0.0002155895,0.04198823,0.0002894981,1.57999996468425,4
-44.00214,0.4833333,-39.99839,6.161229725581066,-0.3058176159580131,3.443423346133443,0.04662173,4.81294,0.06836203,0.0004315415,0.04198823,0.0005789621,1.59999996423721,4
-43.98812,0.2833334,-39.98848,6.475905822434996,-0.6428114907212773,3.564988796696902,0.0563158,10.60931,0.2749031,0.0007111311,0.09245005,0.00234327,1.61999996379018,4
-43.99273,0.4833333,-39.98493,6.70252336930853,-0.73639908639816,3.6503497596597194,0.2000025,10.70867,0.568244,0.002200446,0.09330489,0.004774335,1.63999996334314,4
-43.99734,0.6833334,-39.98106,6.980422624801669,-1.0387896482542578,3.746909094569311,0.3558157,10.81089,0.8633714,0.003800923,0.09417652,0.007208226,1.65999996289611,4
-44.00195,0.8833334,-39.97725,7.161126160207125,-1.0961705667174368,3.802435929396076,0.5173654,10.91384,1.160206,0.005456964,0.09504598,0.009649219,1.67999996244907,4
-43.94281,0.2833333,-39.95954,7.249137126567561,-0.9338764040305928,3.818459273421624,0.5446607,18.88538,359.8164,0.004425775,0.1640664,-0.002360285,1.69999996200204,4
-43.9365,0.4833333,-39.9524,7.368028416029659,-1.216509121036123,3.8311247663241232,1.035404,18.72368,359.6071,0.008357359,0.1626918,-0.00485272,1.719999961555,4
-43.85725,0.2833333,-39.91185,7.392393433444333,-1.2501598045606246,3.804928084458318,1.803395,24.378,359.8008,0.01501517,0.2111374,-0.005021561,1.73999996110797,4
-43.84043,0.4833331,-39.88701,7.32755233590234,-1.060162352488359,3.7418417178362304,3.411424,23.71057,359.4782,0.02819556,0.20548,-0.01056973,1.75999996066093,4
-43.82356,0.6833332,-39.86311,7.362261624552531,-1.3111188862194183,3.707745885018319,4.999,23.02617,359.1283,0.04121512,0.1997211,-0.01615081,1.7799999602139,4
