pX,pY,pZ,aX,aY,aZ,reX,reY,reZ,rtX,rtY,rtZ,t,ID
-45.02235,0.2300002,-38.03078,5.612988167710263,-0.098233843523052,2.9503087795514205,359.0461,358.6086,1.046527,-0.008434694,-0.01206493,0.009030478,5.07999988645315,13
-45.04235,0.4300001,-38.06314,6.190098800061982,-0.0275872412827377,3.284963767816649,357.9312,357.2401,2.00073,-0.01846498,-0.02375925,0.01701619,5.09999988600612,13
-45.25721,0.2833334,-38.52465,6.91288411447799,-0.4080008061862112,3.590796803498307,0.4753573,3.965583,359.9258,0.00412337,0.03460171,-0.0007907788,5.11999988555908,13
-45.25546,0.4833334,-38.51667,7.541820644097051,-0.5455653870548475,3.861003942957872,0.9511459,4.696208,359.8578,0.00824239,0.04097953,-0.00158021,5.13999988511205,13
-45.25372,0.6833334,-38.50867,8.077151272720108,-0.4656149905827624,4.094510721576384,1.423696,5.425655,359.7952,0.01232524,0.04734854,-0.002373145,5.15999988466501,13
-45.25197,0.8833334,-38.50064,8.519425346355305,-0.1924375466298549,4.290385817623559,1.893379,6.154078,359.7403,0.01637658,0.05370858,-0.003150037,5.17999988421798,13
-45.23093,0.2833333,-38.47854,9.04180711473753,-0.6030288279900121,4.431370359480994,1.275094,14.33713,0.5630105,0.01165303,0.1247254,0.00348595,5.19999988377094,13
-45.23516,0.4833332,-38.4544,9.453433434351034,-0.7633834198703113,4.528729851899144,2.542597,15.08503,1.142843,0.02330222,0.1310037,0.006972198,5.21999988332391,13
-45.23938,0.6833333,-38.43027,9.905747677900408,-1.1257107168558766,4.580997687915968,3.80374,15.84605,1.741841,0.03496122,0.1372511,0.0104723,5.23999988287687,13
-45.16483,0.2833334,-38.39656,10.233983860617265,-1.2361986711958166,4.587715855589316,1.971124,24.61457,0.169751,0.01712085,0.2130979,-0.002219253,5.25999988242984,13
-45.15325,0.4833333,-38.36382,10.441715946194684,-1.1201811679681126,4.549401798471571,3.9406,25.35102,0.3639407,0.03423983,0.2191918,-0.004447512,5.2799998819828,13
-45.14169,0.6833333,-38.3311,10.532815910127944,-0.8019461354645444,4.466604139495097,5.909768,26.09541,0.5815085,0.0513622,0.2252043,-0.006700793,5.29999988153577,13
-45.04919,0.2833332,-38.30143,10.67212046794522,-1.158488918034764,4.3267054833707945,3.348905,32.57624,0.1308053,0.02836773,0.2803157,-0.007100205,5.31999988108873,13
-45.01977,0.4833332,-38.25051,10.684412017366236,-1.2558041505428656,4.138731977567858,6.698648,33.31572,0.3030457,0.05672821,0.2860173,-0.01421811,5.3399998806417,13
-44.99037,0.6833329,-38.19963,10.575262615951026,-1.1192260083425911,3.904135366790044,10.04793,34.07108,0.5204943,0.08505476,0.291456,-0.0213292,5.35999988019466,13
-44.82921,0.2833337,-38.1538,10.531261070485227,-1.4133580359867477,3.622269552249435,4.690784,43.18114,0.2768072,0.03894009,0.3675703,-0.01281436,5.37999987974763,13
-44.77684,0.4833339,-38.09024,10.35560837689694,-1.4442904799657907,3.294018934150216,9.381094,43.94494,0.614279,0.07783222,0.3724961,-0.02564168,5.39999987930059,13
-44.72449,0.6833338,-38.0267,10.214474036368095,-1.6642336788709016,2.9226104433227817,14.06813,44.74947,1.02159,0.1166035,0.3767731,-0.03843216,5.41999987885356,13
-44.52654,0.2833333,-37.988,9.937158947778215,-1.619374813437939,2.50656729747233,3.652519,54.12389,0.3537163,0.02978317,0.4546327,-0.01175137,5.43999987840652,13
-44.47873,0.483333,-37.94545,9.532573226697252,-1.3350472927344437,2.04811795547132,7.299096,54.88243,0.7562835,0.05952556,0.4595209,-0.02348805,5.45999987795949,13
-44.43093,0.6833332,-37.9029,9.00995367089228,-0.8355395828289965,1.5494880187361133,10.93798,55.67362,1.209151,0.08917818,0.4639141,-0.03521343,5.47999987751245,13
-44.26377,0.2833333,-37.89224,8.54965417809084,-0.9978452607169924,1.0168394963372904,3.641026,62.36774,0.3431808,0.02872813,0.5174412,-0.01388847,5.49999987706542,13
-44.21042,0.483333,-37.85722,7.969468155931565,-0.887961029869355,0.4461928574204421,7.276307,63.12296,0.7348525,0.05741739,0.5220009,-0.02775938,5.51999987661839,13
-44.15708,0.6833336,-37.8222,7.280465112043394,-0.5312206568841652,-0.1599499596482658,10.90485,63.91037,1.178886,0.08603602,0.5260039,-0.04159768,5.53999987617135,13
-43.91866,0.2833335,-37.80225,6.685499366674129,-0.5922262524460484,-0.7927809933680408,3.571702,72.11932,0.442026,0.02746234,0.5882399,-0.01522698,5.55999987572432,13
-43.86182,0.4833333,-37.77555,5.981016113285619,-0.3770691455684621,-1.4568856860433783,7.13641,72.88084,0.9320605,0.05488811,0.5924083,-0.03043588,5.57999987527728,13
-43.805,0.6833333,-37.74886,5.179999416330972,0.0889167637735073,-2.149753047792153,10.69311,73.68003,1.474646,0.08224872,0.5959651,-0.04561033,5.59999987483025,13
-43.54737,0.2833331,-37.72339,4.430662973480935,-0.0989662461213072,-2.825508792760715,3.482916,80.70557,0.6250513,0.0266888,0.6470571,-0.0155218,5.61999987438321,13
-43.48923,0.4833331,-37.70262,3.86091216459424,0.141652709356386,-2.967207759720516,6.956319,81.48044,1.297953,0.05334223,0.6508659,-0.03102524,5.63999987393618,13
-43.43111,0.6833329,-37.68187,3.254769016478498,0.3885441044049752,-3.0718079510306566,10.41907,82.3031,2.024264,0.07993379,0.6540249,-0.04649515,5.65999987348914,13
-43.37301,0.8833331,-37.66111,2.8130345316831797,-0.0508767876964276,-3.129865420752978,13.87055,83.18053,2.809287,0.1064344,0.6565305,-0.06192878,5.67999987304211,13
-43.15347,0.2833328,-37.65574,2.3483077411119453,-0.5117286303202739,-3.144991497308432,3.42859,86.34509,0.6161818,0.02549445,0.6837643,-0.0165481,5.69999987259507,13
-43.09451,0.4833329,-37.64098,1.8538663302950769,-0.0890333947804815,-3.1299153129886434,6.847797,87.11526,1.279096,0.05095509,0.6873279,-0.03307696,5.71999987214804,13
-42.89572,0.2833335,-37.62766,1.5734481572203407,-0.3280834352030383,-3.0759055784706604,3.389646,88.68926,0.6297891,0.02499067,0.69854,-0.01674377,5.739999871701,13
-42.83691,0.4833334,-37.61508,1.3020641899903325,-0.5629519881104159,-2.9920623430633384,6.770128,89.45827,1.303232,0.0499357,0.7020057,-0.03348592,5.75999987125397,13
-42.77811,0.6833332,-37.60248,0.9642564079516092,-0.1277124239247948,-2.8881266236376604,10.1404,90.27317,2.02566,0.07481234,0.7048047,-0.05021005,5.77999987080693,13
-42.71933,0.8833334,-37.58989,0.6441498195977502,0.286096396119918,-2.7626394621547803,13.49889,91.14085,2.805246,0.09960742,0.7069359,-0.06688621,5.7999998703599,13
-42.51003,0.2833335,-37.58971,0.5099778285952965,-0.2265032354598606,-2.5987840477103674,3.377153,90.54987,0.3862063,0.02312946,0.7101092,-0.01856525,5.81999986991286,13
-42.45108,0.483334,-37.58321,0.313460127175027,-0.0402458001490162,-2.410309755235744,6.748253,91.29414,0.8140767,0.04621445,0.7134974,-0.03712576,5.83999986946583,13
-42.39214,0.6833342,-37.57673,0.137522297761663,0.1522843231920502,-2.2224846280875425,10.11247,92.06973,1.289917,0.06925061,0.7162274,-0.05564712,5.85999986901879,13
-42.16388,0.2833335,-37.57227,0.1672804942187369,-0.3414971498616184,-2.019371986804721,3.343946,90.61429,0.2226074,0.02190092,0.7105433,-0.01937605,5.87999986857176,13
-42.10552,0.4833335,-37.56867,0.0717359222534383,-0.1364220827375249,-1.8155269567753864,6.683685,91.34175,0.4866683,0.04376647,0.7139418,-0.03873622,5.89999986812472,13
-41.89845,0.2833331,-37.56386,0.1351641730892154,-0.3519516001758512,-1.628839071171143,3.305609,90.328,0.09976652,0.02095366,0.7088149,-0.01983968,5.91999986767769,13
-41.84077,0.4833326,-37.56212,0.1974542240879557,-0.5622543805332803,-1.473228307272045,6.608792,91.04317,0.2409482,0.04188306,0.7122416,-0.03965656,5.93999986723065,13
-41.78312,0.6833324,-37.56037,0.0977344116344838,-0.1014025045434009,-1.3247610451857526,9.908707,91.77175,0.4241991,0.06276315,0.7150449,-0.05943645,5.95999986678362,13
-41.72548,0.8833321,-37.55862,0.0101025199809257,0.3390641804760402,-1.1907971083773816,13.20506,92.5191,0.6525954,0.08358295,0.7172231,-0.07915873,5.97999986633658,13
-41.50779,0.2833333,-37.55319,0.1088262562097739,-0.1458330051906841,-1.070644269302626,3.263109,90.00076,359.9837,0.02003205,0.7068276,-0.02023364,5.99999986588955,13
-41.45086,0.4833331,-37.55315,0.0848695240247678,0.0691720412691202,-0.9389580563559649,6.525252,90.70293,0.00735488,0.04004139,0.7102754,-0.04044449,6.01999986544251,13
-41.39394,0.6833329,-37.5531,0.0732397719786916,0.2914954170054832,-0.8239328271060558,9.785645,91.41148,0.07143601,0.06000777,0.7131171,-0.06061514,6.03999986499548,13
-41.1576,0.2833331,-37.54713,0.2701193859432322,-0.1714478996825899,-0.7200027354757879,3.217308,87.73911,359.856,0.01936776,0.6927706,-0.0203602,6.05999986454844,13
-41.10141,0.4833331,-37.54708,0.2615007396458182,0.0655116754972683,-0.6226461005141175,6.435131,88.42828,359.7506,0.03871327,0.6963286,-0.04069763,6.07999986410141,13
-41.04524,0.683333,-37.54704,0.2544753257065935,0.3097890961897845,-0.5403625049278276,9.653031,89.11626,359.6836,0.05802165,0.6993074,-0.06099487,6.09999986365438,13
-40.88515,0.2833336,-37.54278,0.4677578027031188,-0.1312003371452375,-0.4675918175527727,3.311985,87.69904,359.8383,0.01986321,0.6925061,-0.02103721,6.11999986320734,13
-40.82727,0.4833333,-37.54293,0.4425013198488727,0.1277128545465368,-0.4134720099780438,6.624804,88.38441,359.716,0.03970397,0.6960036,-0.04205042,6.13999986276031,13
