pX,pY,pZ,aX,aY,aZ,reX,reY,reZ,rtX,rtY,rtZ,t,ID
-44.00042,0.23,-37.99971,1.999456098859099,-0.10885996302746,6.014373162924436,0.01615613,0.01358832,0.02372754,0.0001410133,0.0001185512,0.0002070451,6.69999985024333,17
-44.00084,0.43,-37.99943,2.576963220720856,-0.2809233660664759,6.282660553352258,0.03237969,0.01359827,0.0474275,0.0002826151,0.0001185503,0.0004138495,6.7199998497963,17
-44.0996,0.2833333,-37.99898,3.0892016806913247,-0.2360290253113076,6.467037924039282,359.6609,3.879575,5.406551,-0.001357449,0.03395087,0.04723637,6.73999984934926,17
-44.20903,0.4833326,-37.99855,3.6138421725919656,-0.6387795156961485,6.6458152462888975,359.2728,3.82662,11.48196,-0.0029713,0.03385371,0.1001845,6.75999984890223,17
-44.32116,0.6833326,-37.99824,4.068732596105342,-0.7952659373765829,6.742744099107242,358.8763,3.647054,17.73766,-0.00477841,0.03295031,0.1543957,6.77999984845519,17
-44.43283,0.8833326,-37.99808,4.4555270787750345,-0.7308224144812154,6.761715867785647,358.5015,3.354224,23.96051,-0.00671187,0.03134027,0.2078423,6.79999984800816,17
-44.54286,0.2833333,-37.95984,4.860623761860538,-1.1100509483621197,6.787476639438317,1.141083,5.403055,0.6184033,0.01020079,0.04707637,0.004920967,6.81999984756112,17
-44.5518,0.4833333,-37.93877,5.204245753472819,-1.2390429849445357,6.738089624835602,2.281105,5.507291,1.238937,0.02040024,0.0478144,0.009840716,6.83999984711409,17
-44.56075,0.6833334,-37.91772,5.48667257035347,-1.1431322076292578,6.6176813831645305,3.422449,5.623908,1.862026,0.03061894,0.04854518,0.01475695,6.85999984666705,17
-44.53584,0.2833334,-37.84507,5.708336263406771,-0.846607008434921,6.430594046052555,1.894051,9.24716,0.1021448,0.01654601,0.08058341,-0.0004439451,6.87999984622002,17
-44.53222,0.4833333,-37.81192,5.937459215925969,-1.2264634628018722,6.228180227114251,3.788633,9.337775,0.206323,0.03309277,0.08129339,-0.0008971163,6.89999984577298,17
-44.52861,0.6833333,-37.77879,6.107024403394334,-1.348695780373316,5.961089745057755,5.685461,9.431888,0.312228,0.0496503,0.0819797,-0.001365317,6.91999984532595,17
-44.47519,0.2833335,-37.64834,6.216473916145688,-1.238637540444546,5.634705438069311,3.448532,15.25258,0.08147047,0.02991773,0.1326299,-0.003288865,6.93999984487891,17
-44.46066,0.4833333,-37.58953,6.355143648189419,-1.560891224559708,5.318551339274457,6.900321,15.34555,0.1674907,0.05983619,0.133186,-0.006589059,6.95999984443188,17
-44.44613,0.6833334,-37.53076,6.433711957951708,-1.6215483853630728,4.944497183504822,10.35398,15.44455,0.2598633,0.08971753,0.1336202,-0.009886652,6.97999984398484,17
-44.43161,0.8833332,-37.47201,6.451076877794669,-1.445942693449155,4.519087696052267,13.80947,15.55047,0.3595821,0.1195345,0.1339317,-0.01317747,6.99999984353781,17
-44.34564,0.2833332,-37.35416,6.537557136080991,-1.6986764959396785,4.1402867910749706,4.481871,22.73347,0.2156146,0.03870526,0.196865,-0.0058632,7.01999984309077,17
-44.31881,0.4833335,-37.28029,6.553653632734694,-1.6858411181891595,3.712923125724899,8.965833,22.84448,0.4384803,0.0773687,0.1971374,-0.0117397,7.03999984264374,17
-44.29198,0.6833335,-37.20646,6.498486811289219,-1.432769816199566,3.244531716911709,13.45102,22.97503,0.6735975,0.1159275,0.1971059,-0.01760232,7.0599998421967,17
-44.17077,0.2833335,-37.0838,6.371415817434418,-0.9637516730061456,2.742843500260712,3.718776,30.96072,0.2831752,0.03192877,0.2666894,-0.006280007,7.07999984174967,17
-44.14161,0.4833334,-37.02567,6.302821233011301,-1.1557823089470292,2.2941584006765794,7.435925,31.07364,0.574113,0.06381398,0.2669774,-0.01255222,7.09999984130263,17
-44.11245,0.6833334,-36.96754,6.149578803964346,-1.0748562778669633,1.816083690386101,11.15012,31.20661,0.8738563,0.09560817,0.2669817,-0.01882013,7.1199998408556,17
-43.94444,0.2833339,-36.8126,5.911941319362342,-0.7463073570794871,1.3176096592641289,3.657873,34.42736,0.2217779,0.03105837,0.2957258,-0.007597201,7.13999984040856,17
-43.91154,0.4833335,-36.75777,5.743451014677433,-0.8347379876190788,0.9048726602555206,7.3144,34.53363,0.4506582,0.06207663,0.2959756,-0.01518534,7.15999983996153,17
-43.87866,0.6833338,-36.70297,5.474343804304084,-0.646239576469422,0.476979781768776,10.96933,34.65575,0.6886377,0.09302153,0.2959221,-0.02275629,7.17999983951449,17
-43.7872,0.2833332,-36.60246,5.10624397801643,-0.206145556219807,0.0441009553470763,3.593878,37.94436,0.2531184,0.03037162,0.3248829,-0.008106682,7.19999983906746,17
-43.78136,0.4833331,-36.56867,4.812425074547882,-0.1790584895208484,-0.2739590756318932,5.241928,39.00056,1.254196,0.04675257,0.3329706,-0.004957662,7.21999983862042,17
-43.78184,0.6833332,-36.53784,4.405526477663436,-0.1111656099016563,-0.5902270545215984,6.576875,40.12095,2.418327,0.06109685,0.3412337,0.0001177764,7.23999983817339,17
-43.71067,0.2833333,-36.43694,4.006630327040682,0.3606628471415435,-0.8936834356227905,1.591374,43.28655,1.256904,0.01695211,0.3686274,0.005072509,7.25999983772635,17
-43.70901,0.4833334,-36.40254,3.645464510932129,0.8152426733245624,-1.1729461421568068,3.020481,44.37973,2.587631,0.03292219,0.3768985,0.0109485,7.27999983727932,17
-43.70702,0.6833332,-36.36802,3.4857671399662067,0.3475962016734868,-1.3278511404406714,4.437252,45.50973,3.940347,0.04896602,0.3850435,0.01671489,7.29999983683228,17
-43.62526,0.2833335,-36.25777,3.394661278172876,-0.1372992157678057,-1.4457451427440269,2.130508,47.18671,1.043593,0.02068072,0.4000018,0.0009035886,7.31999983638525,17
-43.60988,0.4833335,-36.21906,3.3913266700191187,0.2655327203157761,-1.560027372326683,4.232048,48.14937,2.130976,0.04128589,0.4069516,0.001906755,7.33999983593822,17
-43.59423,0.6833336,-36.18037,3.5295633928649224,0.0108007742136748,-1.5447164758346368,6.336468,49.1801,3.240634,0.06198385,0.4138997,0.002683342,7.35999983549118,17
-43.57821,0.8833337,-36.14169,3.647649602675429,-0.2355677340023884,-1.501516978328862,8.447373,50.28318,4.374557,0.08279532,0.4208495,0.003188191,7.37999983504415,17
-43.49833,0.283333,-36.05916,3.714514476346139,0.192353702583863,-1.4821485546168596,2.418441,50.7019,0.7408478,0.02183819,0.4279341,-0.003194242,7.39999983459711,17
-43.47373,0.483333,-36.02207,3.93313210336796,-0.0372882803341255,-1.3254048179349525,4.828673,51.73866,1.521166,0.04368766,0.4353913,-0.006445165,7.41999983415008,17
-43.44916,0.6833332,-35.98499,4.119442717599078,-0.2585670296567897,-1.1464510564595471,7.227035,52.81178,2.346338,0.06552573,0.4425943,-0.009721884,7.43999983370304,17
-43.34051,0.2833335,-35.888,4.223036361152253,0.1944444006918448,-1.0532781733729948,2.811162,52.89747,0.354951,0.02334123,0.4451928,-0.00815285,7.45999983325601,17
-43.30522,0.4833334,-35.85308,4.293393125047942,0.630206787242986,-0.9645329452382044,5.622302,53.91155,0.756869,0.04670529,0.4524585,-0.01635114,7.47999983280897,17
