pX,pY,pZ,aX,aY,aZ,reX,reY,reZ,rtX,rtY,rtZ,t,ID
-43.00035,0.2299999,-37.08107,5.041076172141906,0.1134869054441723,3.253456267864138,356.0591,0.007759485,0.01977903,-0.03438432,7.360913e-05,0.0001748308,5.43999987840652,15
-43.00065,0.43,-37.15662,5.42282115460516,-0.0565904287405958,3.610572580281705,352.2707,0.02188112,0.02598979,-0.06739967,0.0002058011,0.0002391578,5.45999987795949,15
-43.0008,0.63,-37.23299,5.748096141232637,-0.0110348299553654,3.9352065906347695,348.3021,0.06251248,0.02021681,-0.1019064,0.0005606631,0.0002310989,5.47999987751245,15
-43.00457,0.2833333,-37.46526,6.0771266968510105,-0.4144473017074999,4.227401352429169,0.05147761,6.504838,359.9456,0.0004215715,0.05673515,-0.0004994152,5.49999987706542,15
-43.00358,0.4833333,-37.46447,6.343081705850331,-0.57292022312571,4.480804626656216,0.1033615,6.971208,359.8917,0.0008428856,0.06079855,-0.0009979324,5.51999987661839,15
-43.00257,0.6833333,-37.46369,6.546580199587396,-0.5117871447564833,4.694422044595775,0.1552686,7.437068,359.8401,0.00126165,0.06485687,-0.001479897,5.53999987617135,15
-42.98009,0.2833333,-37.44249,6.797217769564547,-0.8956504137215517,4.897140278478638,1.155959,15.68198,0.5441613,0.01064085,0.1363684,0.003327886,5.55999987572432,15
-42.98392,0.4833334,-37.42028,6.974902210539852,-1.0306019956896115,5.052147343713983,2.307306,16.16379,1.098144,0.02127978,0.1403624,0.006655432,5.57999987527728,15
-42.98775,0.6833332,-37.39808,7.0808003404739495,-0.9419750698249284,5.1584872904328805,3.455842,16.65682,1.663686,0.03193412,0.1443326,0.009991098,5.59999987483025,15
-42.91365,0.2833333,-37.36202,7.241340391037021,-1.2943715456576492,5.246666062667465,1.873572,25.42026,0.1034902,0.01614731,0.2199748,-0.002716268,5.61999987438321,15
-42.90121,0.4833333,-37.33145,7.318190210790647,-1.3938838567649698,5.271619716117193,3.74695,25.88973,0.2214206,0.0322942,0.2238316,-0.005441393,5.63999987393618,15
-42.88879,0.6833333,-37.3009,7.31514228044292,-1.2658452772693112,5.235541357342576,5.621748,26.36376,0.3536732,0.04844995,0.2276202,-0.008181585,5.65999987348914,15
-42.79289,0.2833333,-37.25931,7.236178526581334,-0.9345439387077622,5.140530920657064,3.254754,32.96612,0.08828015,0.02745065,0.2835963,-0.007319342,5.67999987304211,15
-42.76326,0.4833332,-37.21041,7.180651578501589,-1.276973976238021,5.015380242098303,6.511565,33.43821,0.2022152,0.05489944,0.2871191,-0.014651,5.69999987259507,15
-42.73365,0.6833332,-37.16153,7.048694037865651,-1.3591314125071623,4.833152192678206,9.769397,33.92023,0.3441168,0.08231989,0.2904006,-0.02197695,5.71999987214804,15
-42.5636,0.2833333,-37.09409,6.933757921183883,-1.633225852402137,4.62221036456814,4.601992,43.07043,0.2329561,0.03809198,0.3667004,-0.01284816,5.739999871701,15
-42.51168,0.4833333,-37.03216,6.7415350291242575,-1.6454444723900494,4.352955751256872,9.205437,43.56417,0.504045,0.07614303,0.3695495,-0.0257059,5.75999987125397,15
-42.45978,0.683334,-36.97026,6.477113306879367,-1.4211215396465589,4.027488470004826,13.80801,44.08794,0.8201377,0.1140825,0.3717896,-0.03852871,5.77999987080693,15
-42.4079,0.883334,-36.90838,6.146780674552183,-0.9845454302477888,3.6489133128012057,18.40916,44.65028,1.187988,0.1518494,0.3734167,-0.05129312,5.7999998703599,15
-42.28633,0.2833333,-36.8936,5.841954578656562,-1.2127117773381535,3.251097489810043,3.672558,51.6394,0.2945141,0.0299634,0.4352414,-0.0116439,5.81999986991286,15
-42.23941,0.4833337,-36.84971,5.474615079722,-1.17161525376501,2.8017487459583634,7.34136,52.12993,0.6208796,0.05988536,0.4381705,-0.02327291,5.83999986946583,15
-42.19252,0.6833339,-36.80581,5.052046548681112,-0.886589742515517,2.304273857599483,11.00493,52.6459,0.9797546,0.08971643,0.440636,-0.03489032,5.85999986901879,15
-42.04345,0.2833338,-36.7608,4.691337551003571,-1.0222375640534238,1.8004102366794328,3.648702,57.78784,0.2833984,0.02906682,0.4828742,-0.0132184,5.87999986857176,15
-41.99232,0.4833336,-36.72253,4.279628060240682,-0.8846494845255306,1.2519499701345185,7.293949,58.27569,0.5983005,0.05809543,0.4856297,-0.02642029,5.89999986812472,15
-41.94121,0.6833336,-36.68428,3.8255314694999,-0.499159759869337,0.6625912774555971,10.93526,58.78844,0.9477943,0.08705508,0.4878794,-0.03959156,5.91999986767769,15
-41.77492,0.2833333,-36.6238,3.464571172463792,-0.5303714698653822,0.0793161531823258,3.587636,63.65028,0.3431272,0.02817499,0.5269882,-0.01396392,5.93999986723065,15
-41.72158,0.4833331,-36.59051,3.065701679819128,-0.2843747691822046,-0.5372683935535036,7.171253,64.14183,0.7174959,0.05631299,0.5295869,-0.02791081,5.95999986678362,15
-41.66825,0.6833326,-36.55724,2.6384410397139533,-0.0266000615052257,-1.0933180819340365,10.75045,64.66157,1.126586,0.0843862,0.5316507,-0.04182652,5.97999986633658,15
-41.55835,0.2833335,-36.52234,2.261570067812798,-0.4493525253645041,-1.5454389070420331,3.528803,67.43203,0.422851,0.027658,0.5547155,-0.01402263,5.99999986588955,15
-41.50441,0.4833333,-36.49177,1.8773552323866485,-0.2312097692780335,-1.7224201523703648,7.052964,67.92898,0.87686,0.05528072,0.5572144,-0.02802886,6.01999986544251,15
-41.45048,0.6833333,-36.4612,1.491265783544506,-0.0078400847133487,-1.866870815073817,10.57188,68.45856,1.365988,0.08284063,0.5591661,-0.04200425,6.03999986499548,15
-41.29471,0.2833335,-36.40278,1.2329687317775253,-0.4718281840169349,-1.9245220468292457,3.469649,70.69196,0.4700857,0.02706543,0.5781411,-0.01416903,6.05999986454844,15
-41.24037,0.4833329,-36.37488,0.9601474378027248,-0.238003961149267,-1.965610668054236,6.934292,71.1911,0.9710684,0.05409759,0.5805569,-0.02832145,6.07999986410141,15
-41.18677,0.6833328,-36.34785,0.713188808196918,0.0010472467359228,-1.9884083444542424,10.33889,71.63935,1.467577,0.08051836,0.5818723,-0.04238407,6.09999986365438,15
-41.01689,0.2833333,-36.29245,0.6444264875938046,-0.4472596974931527,-1.931896619299696,3.119329,73.31841,0.04977052,0.02209346,0.5968235,-0.01590228,6.11999986320734,15
-40.96513,0.4833326,-36.27622,0.5193924246216071,-0.1977549541153919,-1.8690779824110564,6.225163,73.65914,0.09896778,0.04397831,0.5985148,-0.03185799,6.13999986276031,15
-40.91332,0.6833323,-36.25985,0.4147961710258698,0.056977070828115,-1.7923050264943043,9.337002,74.00717,0.1738502,0.06590834,0.5997689,-0.04777853,6.15999986231327,15
-40.86153,0.8833322,-36.24349,0.3427793817265865,0.2646658063513543,-1.6988106359950272,12.4474,74.36267,0.2687279,0.08778223,0.6005735,-0.06365921,6.17999986186624,15
-40.72065,0.2833331,-36.20221,0.3181703305589138,0.2395760230650353,-1.5487657704436373,3.296583,73.95346,0.1606117,0.02382177,0.6012089,-0.0161821,6.1999998614192,15
-40.66692,0.4833332,-36.18532,0.3071716495190983,0.2484622182397651,-1.4036906663816708,6.521338,74.31869,0.2493833,0.04664228,0.6029558,-0.03262497,6.21999986097217,15
-40.53034,0.2833336,-36.14413,0.4159485448924727,-0.1888678973478376,-1.2183313847880513,3.294899,73.51339,0.1190459,0.02365501,0.5981466,-0.01637221,6.23999986052513,15
-40.47717,0.483334,-36.13012,0.3804065690310665,0.0726590908059169,-1.0655522557197727,6.441082,74.02603,0.03729238,0.04505481,0.6010311,-0.03356037,6.2599998600781,15
-40.42495,0.683334,-36.11705,0.3334969866203821,0.340458883378973,-0.9416725528953052,9.523829,74.44913,359.943,0.06580303,0.6028852,-0.0506139,6.27999985963106,15
-40.37293,0.883334,-36.10416,0.2829763371413918,0.5622597360858055,-0.8487771654225469,12.59375,74.85262,359.8648,0.08638788,0.6041764,-0.06758851,6.29999985918403,15
-40.24162,0.2833336,-36.06271,0.3290211817846469,-0.1679607127613754,-0.7320351449568676,3.117142,73.3178,359.8108,0.02083367,0.5968642,-0.01756294,6.31999985873699,15
-40.1899,0.4833335,-36.05133,0.2939810118704855,0.0141148519783097,-0.6008559563001938,6.141274,73.76201,359.5939,0.04072348,0.5994415,-0.03497877,6.33999985828996,15
-40.13866,0.6833333,-36.04038,0.2648591483209088,0.2024624166064845,-0.4866346567499988,9.13298,74.15232,359.3843,0.06029037,0.6012949,-0.05227115,6.35999985784292,15
-39.98532,0.2833333,-35.99405,0.3593480991986908,-0.2955027738238284,-0.3210954512274426,3.122833,72.27158,359.8017,0.02098636,0.5895192,-0.01746546,6.37999985739589,15
-39.93335,0.4833336,-35.98306,0.3409199790392208,-0.0946109109538614,-0.1790529970904728,6.147501,72.83685,359.5081,0.04060387,0.5930034,-0.03528311,6.39999985694885,15
-39.88184,0.6833335,-35.97261,0.3203773759311517,0.1125536477869099,-0.0534273186623579,9.142675,73.37167,359.2184,0.05985029,0.5959485,-0.05306603,6.41999985650182,15
-39.71218,0.2833329,-35.92226,0.4328952132546746,-0.3665936140205768,0.1347532220588689,3.06812,69.92701,359.716,0.02051969,0.5729018,-0.0173716,6.43999985605478,15
-39.66023,0.4833331,-35.90821,0.4082950480797649,-0.1468838991912473,0.271915515132946,6.138467,70.47934,359.463,0.04102998,0.5763689,-0.03471584,6.45999985560775,15
-39.60957,0.6833329,-35.8952,0.3749923423820434,0.0790985836422377,0.3878480652212346,9.122415,70.92282,359.205,0.06075884,0.5787526,-0.05176836,6.47999985516071,15
-39.49524,0.2833333,-35.85644,0.3401817882619866,0.2590832474642277,0.4825875313995524,3.284388,70.09589,359.686,0.0218885,0.574088,-0.01869907,6.49999985471368,15
-39.44199,0.4833335,-35.84406,0.3311145474324561,0.2073353533573807,0.6358385153923578,6.391486,70.4004,359.3217,0.04214568,0.5757983,-0.03696392,6.51999985426664,15
-39.38953,0.6833334,-35.83225,0.3183164267326575,0.1906089174419408,0.7666883821897343,9.446989,70.62892,358.9541,0.06193373,0.5766897,-0.0550222,6.53999985381961,15
-39.22657,0.2833333,-35.77602,0.3097440137325762,0.1555877705216334,0.8759664562640026,3.296847,71.00016,359.6821,0.02180891,0.5805265,-0.01896212,6.55999985337257,15
-39.17083,0.4833338,-35.76378,0.2995206965392754,0.1289298646016456,1.0259689391148967,6.543264,71.37247,359.3113,0.04285226,0.5826634,-0.03816444,6.57999985292554,15
-39.11573,0.6833339,-35.75283,0.2813481532113187,0.1372938719752767,1.147188062468203,9.731751,71.78272,358.9071,0.06314376,0.5847662,-0.05742425,6.5999998524785,15
-38.93043,0.2833333,-35.68874,0.2640834447153324,0.1273633197543884,1.2416455987483062,3.400508,72.24853,359.8262,0.02307239,0.5893146,-0.01871658,6.61999985203147,15
-38.87438,0.4833333,-35.67506,0.2488500567302125,0.1257951631448637,1.3850469912356118,6.696814,72.74088,359.6068,0.04499799,0.5921491,-0.03739394,6.63999985158443,15
-38.81934,0.6833335,-35.66244,0.2196377128665503,0.1592489009244473,1.5015357434854693,9.923408,73.22013,359.3724,0.06617151,0.5945025,-0.05595867,6.6599998511374,15
-38.76451,0.8833337,-35.65003,0.1849181269191433,0.174408539351662,1.5936521430205488,13.13706,73.68957,359.1548,0.08714711,0.596372,-0.07445655,6.67999985069036,15
-38.61368,0.2833334,-35.5906,0.2305042191208457,-0.5223562674128522,1.7359842021141247,3.409806,73.38498,359.9404,0.02354596,0.5972679,-0.01819412,6.69999985024333,15
-38.55872,0.4833334,-35.57615,0.1702304956981493,-0.3068265274762362,1.8219543957068252,6.663072,73.93184,359.8469,0.04563034,0.6003851,-0.03601144,6.7199998497963,15
-38.41433,0.2833333,-35.51941,0.1054626988840823,-0.085023891298394,1.8804860202579263,3.39464,73.45647,359.9754,0.023611,0.5977629,-0.01788522,6.73999984934926,15
-38.35885,0.4833333,-35.50492,0.0808412770207311,-0.0693427248114805,1.9975392595506705,6.674685,74.24474,359.8882,0.04582956,0.6025409,-0.03591025,6.75999984890223,15
-38.3041,0.6833336,-35.49073,0.0400843821002538,-0.0196862041480627,2.080396890266257,9.914685,74.98628,359.8387,0.06770939,0.6064856,-0.0537101,6.77999984845519,15
-38.24939,0.8833336,-35.47657,-0.0068679576164996,0.0106298174710368,2.133975889355028,13.15219,75.73003,359.8316,0.08951492,0.609897,-0.07144668,6.79999984800816,15
