pX,pY,pZ,aX,aY,aZ,reX,reY,reZ,rtX,rtY,rtZ,t,ID
-41.00041,0.23,-38.99972,5.507915380973984,0.5279905565417751,5.562735814226301,0.01568617,0.009933932,0.02319489,0.0001369052,8.66622e-05,0.0002024017,2.1799999512732,8
-41.00082,0.43,-38.99944,5.448754837220939,0.1246130035176557,5.95562015519053,0.03143916,0.009943316,0.04636085,0.0002743935,8.666078e-05,0.0004045509,2.19999995082617,8
-41.00122,0.63,-38.99917,5.32262133302094,-0.0375181455457493,6.281218513546939,0.04727952,0.009959249,0.06976757,0.0004126444,8.665962e-05,0.0006088009,2.21999995037913,8
-40.90335,0.283333,-38.9987,5.235881211718429,-0.410614026452546,6.6398822083426765,0.4345891,4.326095,354.6612,0.002027877,0.03787861,-0.0466824,2.2399999499321,8
-40.79482,0.4833334,-38.99809,5.080189045156615,-0.5408609246312712,6.919679520591231,0.9248453,4.258323,348.646,0.004350566,0.03776671,-0.09914754,2.25999994948506,8
-40.63332,0.6833334,-38.99781,4.86107332339612,-0.4535928452079212,7.122490438862734,1.580664,3.950284,339.8397,0.007540619,0.03634343,-0.1753733,2.27999994903803,8
-40.27289,0.2833334,-38.95891,4.668205456365399,-0.8134112569848313,7.323332996495395,1.208498,7.326676,357.2433,0.008984532,0.06412488,-0.02467703,2.29999994859099,8
-40.23642,0.4833333,-38.94447,4.414235203532691,-0.9264086314353416,7.441809954767791,2.261526,6.512702,355.304,0.0173591,0.05755191,-0.04201522,2.31999994814396,8
-40.19362,0.2833333,-38.89415,4.105533995908836,-0.8179180655718434,7.481113789509195,1.201122,10.66445,359.7117,0.01020237,0.09295151,-0.003479205,2.33999994769692,8
-40.18512,0.4833333,-38.8739,3.879309575806957,-1.1525422522857212,7.573639293179475,2.4054,10.10416,359.4652,0.02049689,0.08813839,-0.006495976,2.35999994724989,8
-40.17699,0.6833334,-38.85386,3.596204339517904,-1.2363725030798025,7.577608692259844,3.598299,9.501563,359.2097,0.03071643,0.08299477,-0.009469354,2.37999994680285,8
-40.16887,0.8833334,-38.83382,3.263751335094128,-1.0947418471890005,7.497759100754152,4.790537,8.893082,358.9383,0.04094791,0.07784386,-0.01246875,2.39999994635582,8
-40.09986,0.2833333,-38.74724,2.9661704507809645,-1.3922545217508493,7.404997639130244,2.429058,16.05063,359.9714,0.02095357,0.1395845,-0.00320592,2.41999994590878,8
-40.08733,0.4833333,-38.70629,2.625848394527452,-1.4350004264407386,7.229696011948071,4.85973,15.45969,359.9176,0.0419146,0.1344116,-0.006413958,2.43999994546175,8
-40.00295,0.2833336,-38.59281,2.251200401803459,-1.2483132585111585,6.977823062478045,3.73099,20.43518,0.05213573,0.03211769,0.1772783,-0.005327007,2.45999994501472,8
-39.98056,0.4833336,-38.53107,1.975108827292594,-1.4967962444486438,6.776675323266289,7.466622,19.85007,0.06594027,0.06423695,0.1719568,-0.01065713,2.47999994456768,8
-39.95818,0.6833334,-38.46936,1.6672179786454606,-1.4865400981294516,6.496030810018304,11.20443,19.26014,0.04099299,0.09630527,0.1664528,-0.0159797,2.49999994412065,8
-39.86955,0.2833338,-38.37536,1.4440442156713615,-1.6697545055469938,6.252948415957498,4.045346,24.24767,0.1573871,0.034796,0.2098468,-0.006070838,2.51999994367361,8
-39.84258,0.4833339,-38.30966,1.1956294854833018,-1.5926267125139604,5.931209592706843,8.094409,23.67529,0.2741925,0.06956674,0.2044617,-0.01214228,2.53999994322658,8
-39.81562,0.6833339,-38.24398,0.9324144810489514,-1.2804907241563506,5.539449242703242,12.14634,23.10465,0.3510768,0.1042648,0.1988203,-0.01820258,2.55999994277954,8
-39.67627,0.2833332,-38.09701,0.7538981107852365,-1.397948222714558,5.172017094227115,3.47585,29.14013,0.1601079,0.02970384,0.2514068,-0.006277733,2.57999994233251,8
-39.64882,0.4833335,-38.04276,0.5714629393291304,-1.251090907016145,4.741410843018258,6.952197,28.56862,0.2856852,0.05937141,0.2461325,-0.01254839,2.59999994188547,8
-39.51837,0.2833335,-37.88742,0.3965292183806852,-0.8652527929025713,4.257511434198115,3.523909,31.49197,0.1507886,0.02995015,0.2712055,-0.007078014,2.61999994143844,8
-39.48816,0.4833334,-37.83374,0.3757091893530813,-0.905036639997289,3.868673260321863,7.048233,30.92088,0.2665566,0.05986315,0.2659303,-0.0141481,2.6399999409914,8
-39.45795,0.6833331,-37.78006,0.3688707732899061,-0.6765334951399243,3.430073753755778,10.57264,30.35211,0.347644,0.08971018,0.2604015,-0.02120345,2.65999994054437,8
-39.42777,0.8833328,-37.72641,0.3887145801884699,-0.2050768976388001,2.953035010827449,14.09839,29.78106,0.3922818,0.1194727,0.2546231,-0.0282526,2.67999994009733,8
-39.28118,0.2833335,-37.57235,0.529323305536515,-0.1552685435860028,2.526851466292051,3.567498,34.76029,0.1935115,0.03021026,0.2985148,-0.007687189,2.6999999396503,8
-39.24817,0.4833339,-37.51945,0.7123415723497146,-0.0732963969915144,2.0758697731793703,7.135688,34.19564,0.3520597,0.0603813,0.29325,-0.01536507,2.71999993920326,8
-39.11995,0.2833332,-37.37316,0.9515556585646864,-0.0121979566574699,1.6124973385741723,3.519476,37.26923,0.2870685,0.02989853,0.3193073,-0.007439587,2.73999993875623,8
-39.08645,0.4833332,-37.32145,1.2764002146744815,-0.0090613183156291,1.2823110811973422,7.040567,36.71427,0.5404061,0.05975904,0.3140665,-0.01487016,2.75999993830919,8
-39.05296,0.683333,-37.26974,1.528847713267503,0.0196876913317692,0.9521011278402298,10.56292,36.17039,0.7613474,0.0895526,0.3085247,-0.02228511,2.77999993786216,8
-38.9408,0.2833338,-37.14975,1.6442503010079932,0.0207338369017536,0.6355747669328125,3.488809,38.50033,0.2879458,0.02956686,0.3294673,-0.007664925,2.79999993741512,8
-38.90657,0.4833334,-37.09917,1.450530877099105,0.020733752397707,0.3671656906753568,6.979383,37.94702,0.5425374,0.05909771,0.3242519,-0.01532118,2.81999993696809,8
-38.87235,0.6833336,-37.04859,1.2170747573507228,0.0463463758215321,0.1103347667237457,10.47098,37.40473,0.7644178,0.08855933,0.3187307,-0.02296651,2.83999993652105,8
-38.71571,0.2833337,-36.87719,0.9426296875955984,0.5244477210040228,-0.1658191578360259,3.445295,39.57782,0.3060203,0.02918972,0.338326,-0.007665717,2.85999993607402,8
-38.68128,0.4833336,-36.82763,0.7949581835804409,0.3366223521046464,-0.299153887954489,6.892188,39.0276,0.5789845,0.05834076,0.3331394,-0.01532459,2.87999993562698,8
-38.64685,0.6833342,-36.77808,0.6498994314872277,0.1487971105711663,-0.4109897079138136,10.34044,38.4896,0.8207456,0.08742818,0.3276461,-0.02296703,2.89999993517995,8
-38.54073,0.2833333,-36.66678,0.6227611393053749,-0.5202654107508681,-0.3795908174433791,3.406863,39.42666,0.2519409,0.02872515,0.3371029,-0.00795819,2.91999993473291,8
-38.50613,0.4833334,-36.61825,0.5338591779400446,-0.286441182133438,-0.393658824907547,6.814749,38.87309,0.4708827,0.0574122,0.3319413,-0.01590935,2.93999993428588,8
-38.47154,0.6833336,-36.56973,0.4544170701826573,-0.0557532142031579,-0.3946174057275584,10.22357,38.32836,0.6583274,0.08603849,0.3264816,-0.02384365,2.95999993383884,8
-38.3205,0.2833332,-36.40777,0.3092428088961014,0.5997198804047941,-0.4596206639248628,3.364387,38.48511,0.1563048,0.02816487,0.3293878,-0.008387399,2.97999993339181,8
-38.28587,0.4833331,-36.3603,0.2860249644289609,0.3491697784772286,-0.4185631088274384,6.728807,37.92459,0.2795388,0.05629259,0.3242495,-0.0167667,2.99999993294477,8
-38.15103,0.2833332,-36.21014,0.2685649383284385,0.098619653811974,-0.3861354381945538,3.318063,37.55626,0.06010334,0.02757925,0.3217549,-0.008823239,3.01999993249774,8
-38.11634,0.4833332,-36.16379,0.2862236796187716,0.0871194674674804,-0.2945623474198555,6.635555,36.9884,0.08737291,0.05512638,0.3166351,-0.01763618,3.0399999320507,8
-38.08166,0.683333,-36.11745,0.3051700883709856,0.1012317034794469,-0.2175177414787228,9.951867,36.41786,0.08117196,0.08261427,0.3112469,-0.02643357,3.05999993160367,8
-37.96371,0.2833336,-35.99103,0.3351783471170861,0.0876407225878138,-0.1481526108111808,3.280967,36.3685,359.9575,0.02708252,0.311956,-0.009286127,3.07999993115664,8
-37.92894,0.4833337,-35.94555,0.2511904094166439,0.7133192819070513,-0.1772955742374762,6.560413,35.79351,359.8819,0.05413429,0.3068553,-0.0185624,3.0999999307096,8
