pX,pY,pZ,aX,aY,aZ,reX,reY,reZ,rtX,rtY,rtZ,t,ID
-43.9719,0.2300003,-36.95188,6.354922221447396,-0.1461480804514916,2.930338530203045,3.134215,359.9434,358.5629,0.02735181,-0.0001508712,-0.01252288,2.57999994233251,10
-43.94333,0.4300005,-36.94489,6.767511530029971,-0.259667712048693,3.021456501339188,3.96966,0.2925913,357.1245,0.03455984,0.00342003,-0.02516445,2.59999994188547,10
-43.84044,0.2833332,-37.14907,7.09183548893138,-0.1604114027325137,3.098372966038312,0.9485142,4.681877,358.8906,0.007874518,0.04092247,-0.01001129,2.61999994143844,10
-43.82242,0.4833332,-37.13631,7.440897006136254,-0.512981927546221,3.192584883025681,1.752219,5.064728,357.9335,0.01447634,0.04444681,-0.01868813,2.6399999409914,10
-43.80437,0.6833333,-37.12399,7.694744153122755,-0.6234702415075138,3.264838379489568,2.544328,5.436936,356.9779,0.02091855,0.04798504,-0.02738648,2.65999994054437,10
-43.78633,0.8833333,-37.11167,7.856944856335801,-0.5172101245434582,3.31456124105803,3.342425,5.795719,356.0267,0.02735738,0.05151347,-0.03608095,2.67999994009733,10
-43.77974,0.2833333,-37.08319,7.984298198253121,-0.858804127021089,3.349332705521832,1.228079,13.4974,0.5442185,0.0112005,0.1174563,0.003456637,2.6999999396503,10
-43.78413,0.4833333,-37.05994,8.022619817176377,-0.9543434322932742,3.3592827958627254,2.452068,13.92199,1.097632,0.02239859,0.1209569,0.0069127,2.71999993920326,10
-43.73228,0.2833332,-37.01554,7.976401512728302,-0.8291615956108531,3.3444322809107803,1.689816,20.4505,0.07400841,0.01462633,0.1774897,-0.001982149,2.73999993875623,10
-43.72317,0.4833333,-36.98722,7.95235646945698,-1.1478604352047523,3.333450709762751,3.379497,20.86029,0.1594292,0.0292519,0.1809174,-0.003970596,2.75999993830919,10
-43.71408,0.6833335,-36.95892,7.84238508758056,-1.216531985479438,3.2935919012175745,5.070982,21.27304,0.2562673,0.04389039,0.1842994,-0.005969599,2.77999993786216,10
-43.63592,0.2833332,-36.908,7.65272571730128,-1.060510132035594,3.22007062623441,2.897922,27.68344,0.05126306,0.02465912,0.2391531,-0.005615318,2.79999993741512,10
-43.61321,0.4833327,-36.86246,7.43072235282051,-1.34439751810759,3.1230674708357427,5.797352,28.09368,0.1221066,0.04931597,0.242352,-0.01124166,2.81999993696809,10
-43.59052,0.6833326,-36.81694,7.135538848359239,-1.3742848740369014,2.989025346003274,8.698299,28.50974,0.2142104,0.07395802,0.2453888,-0.01686647,2.83999993652105,10
-43.44664,0.2833333,-36.73593,6.773753704693554,-1.17550588792867,2.8191390170158925,4.285164,37.56314,0.1936059,0.03593921,0.3216758,-0.0104385,2.85999993607402,10
-43.40369,0.4833333,-36.67415,6.444328236392906,-1.4126626037354622,2.647802833776325,8.572927,37.99201,0.4178227,0.07185575,0.3243319,-0.02089092,2.87999993562698,10
-43.36077,0.6833335,-36.6124,6.052689659336501,-1.3918464016958674,2.441066911540922,12.86063,38.44375,0.677912,0.1076846,0.3265246,-0.03132014,2.89999993517995,10
-43.26721,0.2833337,-36.58441,5.702906730199757,-1.565268418659405,2.235556899117966,3.996613,43.83841,0.2577492,0.03318831,0.372998,-0.01093146,2.91999993473291,10
-43.22223,0.4833333,-36.53078,5.2937306708064185,-1.479115154538083,1.9985178512781587,7.991611,44.27094,0.5450109,0.06633446,0.3755705,-0.02186142,2.93999993428588,10
-43.17808,0.683333,-36.48546,4.834144244073109,-1.1587202697336512,1.7328403901630622,11.61363,44.53115,0.5502451,0.09543976,0.376502,-0.0339137,2.95999993383884,10
