pX,pY,pZ,aX,aY,aZ,reX,reY,reZ,rtX,rtY,rtZ,t,ID
-41.00041,0.23,-36.99972,5.218749122308083,0.0227073210995509,4.235786349388725,0.01568813,0.009946311,0.02319621,0.0001369223,8.677023e-05,0.0002024133,5.07999988645315,13
-41.00082,0.43,-36.99944,5.636389429519525,0.1016126439834189,4.43560196503995,0.03137813,0.009955929,0.04639595,0.000273861,8.677099e-05,0.0004048573,5.09999988600612,13
-41.00122,0.63,-36.99917,6.192642058292293,-0.2718660636970478,4.6585912391239575,0.04721949,0.009972052,0.06977203,0.0004121206,8.677164e-05,0.0006088399,5.11999988555908,13
-41.00172,0.2833333,-36.99873,6.662496833293744,-0.4038200088164644,4.827466777728404,0.02377681,7.196133,0.03547778,0.0002265124,0.06275677,0.0002959702,5.13999988511205,13
-41.00228,0.4833333,-36.99823,7.047341389403613,-0.3195836228542439,4.943633160101363,0.04756511,7.196154,0.07095081,0.0004531224,0.06275675,0.0005918926,5.15999988466501,13
-41.00285,0.6833333,-36.99774,7.472184473226278,-0.6837581094268198,5.039965501455924,0.07141928,7.196191,0.1064942,0.0006803446,0.06275673,0.000888391,5.17999988421798,13
-40.98312,0.2833333,-36.97126,7.801339694095539,-0.8024355958059908,5.080665970322663,0.9099748,13.15231,0.5473258,0.008435589,0.1144811,0.00383531,5.19999988377094,13
-40.98886,0.4833333,-36.95343,8.037572207420126,-0.7009491944239599,5.068136023656045,1.819837,13.16535,1.094878,0.01687014,0.1144663,0.007669886,5.21999988332391,13
-40.9946,0.6833332,-36.93562,8.376401835062204,-1.043901506350188,5.065828348771873,2.731587,13.18715,1.644078,0.02532216,0.1144417,0.01151123,5.23999988287687,13
-40.92611,0.2833334,-36.89484,8.606210585848395,-1.1373837635491542,5.00532441715567,1.536644,21.3808,0.120432,0.01337155,0.1854713,-0.001454826,5.25999988242984,13
-40.91816,0.4833333,-36.86893,8.73143669951591,-1.0067299946685986,4.890205161906366,3.073576,21.38563,0.2405092,0.02674234,0.185421,-0.002914388,5.2799998819828,13
-40.91024,0.6833333,-36.84305,8.756821523982595,-0.6762288975098496,4.724180946705005,4.612926,21.39356,0.3587928,0.04012568,0.1853363,-0.004395649,5.29999988153577,13
-40.82497,0.2833333,-36.79472,8.841797218179039,-1.0228758549285288,4.551455316540093,2.899557,27.66685,0.04862709,0.02466828,0.239013,-0.005637485,5.31999988108873,13
-40.80206,0.4833333,-36.74925,8.819298276657605,-1.1126659569780608,4.327769938179607,5.800999,27.67045,0.09607231,0.04933377,0.2387828,-0.01128737,5.3399998806417,13
-40.77916,0.6833332,-36.7038,8.695590178033484,-0.9709323859589432,4.057864147125926,8.704612,27.67647,0.1437766,0.07398552,0.2383991,-0.01693648,5.35999988019466,13
-40.63118,0.2833335,-36.62286,8.649763440952611,-1.2622767343804653,3.7999108351770583,4.288854,36.46983,0.1682928,0.03599866,0.3126421,-0.01031487,5.37999987974763,13
-40.58881,0.4833339,-36.56064,8.495313013466685,-1.2927910504987876,3.4972174994972747,8.581756,36.48871,0.3366258,0.07197555,0.3119826,-0.02064169,5.39999987930059,13
-40.54646,0.6833339,-36.49844,8.2402047088965,-1.0878086996484329,3.1554512864809183,12.87644,36.52075,0.5086279,0.1078661,0.310884,-0.03094606,5.41999987885356,13
-40.35847,0.2833333,-36.40476,8.08406471443724,-1.3119327220585624,2.8435410768236977,3.879151,45.21077,0.2772667,0.03217473,0.3840852,-0.01077713,5.43999987840652,13
-40.31373,0.4833333,-36.35363,7.820788178859182,-1.2712542035103611,2.49493548945091,7.75811,45.23904,0.5560663,0.06430817,0.3834212,-0.02154972,5.45999987795949,13
-40.26903,0.6833333,-36.30251,7.460145442809733,-0.9911071475617098,2.11621314710316,11.63857,45.28653,0.8377531,0.09637343,0.382314,-0.03232133,5.47999987751245,13
-40.11306,0.283333,-36.24379,7.124786945274167,-1.1360941953561567,1.7483370039027335,3.729598,50.94841,0.2633772,0.0303654,0.4298083,-0.01192221,5.49999987706542,13
-40.06538,0.4833325,-36.1993,6.698655993619255,-1.012306075144357,1.3582778075100777,7.458038,50.9743,0.5288346,0.06068938,0.4291221,-0.02382899,5.51999987661839,13
-40.01772,0.6833324,-36.15482,6.192960638554176,-0.645076579659658,0.9532975047939516,11.18495,51.01799,0.7984462,0.09093659,0.4279797,-0.0357085,5.53999987617135,13
-39.79467,0.2833333,-36.06557,5.801046726399939,-0.6990079513955811,0.6022500030645688,3.639653,57.14724,0.2819641,0.02906497,0.4779763,-0.01302894,5.55999987572432,13
-39.74395,0.4833333,-36.02706,5.330290615537486,-0.4801914238847203,0.2436115636539497,7.278143,57.17428,0.5660137,0.05809137,0.4772488,-0.02604173,5.57999987527728,13
-39.69324,0.6833332,-35.98856,4.793709152763768,-0.0139612407809949,-0.1147140975249243,10.91542,57.21992,0.8545362,0.08705023,0.4760378,-0.03902514,5.59999987483025,13
-39.45269,0.2833333,-35.88886,4.407318233551308,-0.2050152278910813,-0.3955522905669468,3.555905,63.03032,0.4011581,0.02827873,0.5223767,-0.01323505,5.61999987438321,13
