t,pX,pY,pZ,aX,aY,aZ,reX,reY,reZ,rtX,rtY,rtZ,ID
7.92,-43.30571,1.101702,-37.82837,2.715039145270265,-0.0697133198758976,2.584543149924431,14.63773,356.356,163.6092,-0.01306281,-0.1305218,0.9818047,19
7.94,-43.30285,1.155046,-37.82236,2.768823392341448,-0.0634103947804188,2.604168605045614,14.6757,357.3611,163.6201,-0.004416074,-0.1296372,0.9818538,19
7.96,-43.30367,1.354858,-37.82176,2.8191630319593246,-0.03401541102162,2.6208752163121147,14.69502,357.3674,163.645,-0.004365814,-0.1297941,0.9818633,19
7.98,-43.27481,1.157542,-37.76161,2.866485654855546,-0.050058302032594,2.626986759790828,17.64252,358.9652,165.3232,0.01073648,-0.1532301,0.9802145,19
8.0,-43.28479,1.354381,-37.74768,2.91136141142033,-0.0420031276973445,2.6311575178146533,18.07125,359.0607,165.6346,0.01160395,-0.1568231,0.979969,19
8.02,-43.19263,1.173792,-37.64502,2.953343206401658,-0.0117677525321857,2.633056038620473,16.69212,4.652792,167.8013,0.05534497,-0.1399437,0.9823717,19
8.04,-43.19079,1.368679,-37.61319,2.9928376661274347,-0.0278937563947089,2.627181248114565,17.65534,4.660161,167.8262,0.05620753,-0.1482117,0.9811095,19
8.06,-43.11117,1.1863,-37.52635,3.026001723252757,-0.0431950638812549,2.6154709897100687,12.80002,9.842394,169.7843,0.09479993,-0.1030273,0.9853216,19
8.08,-43.0994,1.374872,-37.465,3.056520936224889,-0.0348180252065141,2.6018199192917884,14.67878,9.834232,169.75,0.09604192,-0.1191735,0.9832284,19
8.1,-43.00879,1.20109,-37.39244,3.08396025297208,-0.0046639514896043,2.5859364054692486,7.045142,15.43305,171.8855,0.1379903,-0.05125059,0.9860098,19
8.12,-42.98609,1.382023,-37.30635,3.100555403349455,-0.0208861600325613,2.558890627504804,9.709509,15.4376,171.9167,0.1394075,-0.07422219,0.9841275,19
8.14,-42.81475,1.226661,-37.17012,3.1146114140333347,-0.0138817821818704,2.530463251643276,0.7368941,23.01736,175.4706,0.1996054,0.001587589,0.9790583,19
8.16,-42.77451,1.393642,-37.05387,3.1257013514108314,0.0144670184606154,2.5003519749530803,4.376555,23.02855,175.7212,0.2007242,-0.02994263,0.9781936,19
8.18,-42.63445,1.262472,-36.95816,3.1246810583478526,-0.0078197762097148,2.458422258566248,357.1801,26.93769,178.3503,0.2324775,0.02727816,0.9721841,19
8.2,-42.57704,1.4127,-36.81251,3.113225603550526,-0.0305121892545613,2.4074090652994213,1.738964,26.93361,178.783,0.2329988,-0.01228378,0.9723008,19
8.22,-42.45618,1.259169,-36.8033,3.099705357179772,-0.0292966880356793,2.3555368977856848,356.0191,31.76071,180.7726,0.2736833,0.03156266,0.9611689,19
8.24,-42.40179,1.419671,-36.68452,3.077942059776353,-0.0539976872332581,2.2963805424014287,359.8132,31.74338,181.2487,0.2734845,-0.001411926,0.9618134,19
8.26,-42.34345,1.249328,-36.69428,3.054463797044309,-0.0543730457571184,2.236711712297395,359.5249,34.31396,181.4621,0.2950148,0.0001974488,0.9553987,19
8.28,-42.28368,1.4129,-36.58393,3.0289202209847783,-0.032327077767972,2.1763284826551805,3.19681,34.32299,181.8418,0.2944848,-0.03138882,0.9551142,19
8.3,-42.2251,1.572636,-36.47579,2.981467096174889,-0.0600153319446183,2.0995077511816733,6.866988,34.35639,182.2224,0.2936493,-0.06292482,0.9538398,19
8.32,-42.20013,1.237326,-36.55951,2.9215044371448364,-0.0872206377978779,2.014056050100667,6.22495,37.64554,182.6753,0.3208784,-0.05889937,0.9452763,19
8.34,-42.14073,1.225964,-36.51572,2.861450858400324,-0.0889675943610394,1.9293665965750444,10.36164,39.26061,183.2746,0.3320107,-0.09457611,0.938516,19
8.36,-42.07339,1.396157,-36.41349,2.786214504667856,-0.1186575884032776,1.834233785749712,13.98003,39.3421,183.661,0.3302867,-0.1252084,0.9354737,19
8.38,-42.06607,1.208308,-36.44751,2.7114749850277127,-0.1217203531035058,1.7403212797075485,13.45316,41.12098,183.685,0.3450721,-0.1208277,0.9306988,19
8.4,-41.99752,1.382614,-36.3485,2.637021250390947,-0.1001333035361842,1.6475719982116992,17.0382,41.23262,184.1094,0.3430281,-0.151048,0.9269076,19
8.42,-41.96906,1.182618,-36.35585,2.538322697782976,-0.1326023383322976,1.538234146950824,17.41358,42.73236,184.1133,0.3548375,-0.1538071,0.9219253,19
8.44,-41.89933,1.362949,-36.26097,2.4335604899801933,-0.165186568028827,1.4262231114669115,20.96069,42.87387,184.5436,0.3523857,-0.1834273,0.9172078,19
8.46,-41.89631,1.167623,-36.27732,2.3308150852284246,-0.1692032525070979,1.316705500939462,20.15173,42.65729,184.295,0.351749,-0.176274,0.9188833,19
8.48,-41.82635,1.351938,-36.18489,2.21419853950757,-0.201245540031112,1.1987998328740357,23.67408,42.7978,184.6713,0.3490201,-0.2053824,0.913557,19
