t,pX,pY,pZ,aX,aY,aZ,reX,reY,reZ,rtX,rtY,rtZ,ID
1.34,-43.42952,1.074834,-36.77256,2.8981638549428785,-0.1259311753279137,1.6097256464720129,16.70583,356.219,167.1866,-0.01623491,-0.1479263,0.9832129,3
1.36,-43.55846,1.241699,-36.71815,2.956736316129583,-0.1126273115891705,1.6112441366991002,18.84879,356.3686,171.0975,-0.01846056,-0.165596,0.9834362,3
1.38,-43.46875,1.154613,-36.74686,3.0151099564633563,-0.1209194200975657,1.6068467832001625,14.71094,357.2784,163.6836,-0.005151577,-0.1300357,0.9818889,3
1.4,-43.45899,1.153828,-36.71482,3.070921335431035,-0.1051058968834511,1.603645059544081,16.60973,358.202,164.6764,0.003868449,-0.145203,0.9808609,3
1.42,-43.47535,1.350534,-36.70825,3.124094769564889,-0.1104169797621567,1.5909556735295336,16.94343,357.5768,165.1011,-0.001641004,-0.1487565,0.9809251,3
1.44,-43.40332,1.162627,-36.65021,3.1743162623023835,-0.0919805188687799,1.5793570961960457,17.95369,1.096341,166.0152,0.02837431,-0.1537172,0.9801784,3
1.46,-43.33082,1.172734,-36.56823,3.2210512187791744,-0.0516786801183714,1.5686014472445011,16.86357,5.646985,167.8494,0.06395322,-0.1404742,0.981677,3
1.48,-43.28606,1.178454,-36.51491,3.2582592082816904,-0.059362789134642,1.5466621705070225,15.25653,8.236643,168.8628,0.08369291,-0.1248706,0.9830005,3
1.5,-43.28408,1.369034,-36.4638,3.2870839328444177,-0.0665799403471935,1.5202802590434483,16.87726,7.499084,168.8889,0.07855982,-0.1394856,0.9814909,3
1.52,-43.12735,1.200758,-36.36362,3.319590360528844,-0.0724739596748849,1.4949261002694954,7.076192,16.70704,171.9155,0.1489469,-0.05068398,0.9844162,3
1.54,-43.10847,1.381404,-36.27768,3.3475466772913007,-0.0775852649801726,1.46818563410406,9.777987,15.96716,171.9395,0.1439737,-0.07446475,0.983433,3
1.56,-42.9897,1.218224,-36.20816,3.372449242933371,-0.0599132532901398,1.4434016291473064,2.23835,21.30109,174.1813,0.1855193,-0.009791936,0.9811356,3
1.58,-42.96094,1.39113,-36.10449,3.3873025854920504,-0.0658799271705493,1.4115043780287193,5.493376,20.56733,174.3031,0.1804394,-0.03823101,0.9811663,3
1.6,-42.82021,1.24399,-36.04049,3.3895206870851604,-0.0737300167768836,1.3734013798362747,358.9167,25.42456,176.8212,0.219705,0.01532175,0.9751262,3
1.62,-42.64087,1.272701,-35.91234,3.388157827783824,-0.0844186420071965,1.332825913380411,354.7085,29.65254,179.988,0.2556116,0.04465054,0.965677,3
1.64,-42.59197,1.272363,-35.90081,3.383860836976776,-0.0715819175294956,1.2943271523106938,353.8136,31.18003,180.0099,0.2683649,0.05195157,0.961805,3
1.66,-42.5495,1.43908,-35.79777,3.3669812740918923,-0.0846583157746889,1.248042245978798,357.0703,30.42045,180.2686,0.2623328,0.02405355,0.964636,3
1.68,-42.46258,1.255137,-35.82651,3.340195399901938,-0.0978293749422855,1.19800051593488,357.3849,34.18508,181.1648,0.2940459,0.01882296,0.955465,3
1.7,-42.41037,1.420351,-35.72013,3.3116223287170365,-0.0870922283835413,1.1506820250909309,0.8801959,33.44367,181.4184,0.2876039,-0.01091692,0.9576388,3
1.72,-42.31609,1.240658,-35.77959,3.266176374641315,-0.1023759729773034,1.0932406967204953,3.998761,39.11257,182.1306,0.33386,-0.0390898,0.9417938,3
1.74,-42.25431,1.407199,-35.67527,3.2196198554828355,-0.0929562525929305,1.0386368442735687,7.59844,38.40799,182.4424,0.3268015,-0.06955393,0.9425288,3
1.76,-42.20344,1.232171,-35.71023,3.1569331956118125,-0.1101613971222327,0.9763565023044488,8.226766,41.53615,182.985,0.3518057,-0.07625852,0.9329609,3
1.78,-42.16233,1.226392,-35.69643,3.093775235041334,-0.1019418309337465,0.9172307950450254,10.29508,42.76329,183.2932,0.3605576,-0.09394496,0.9279742,3
1.8,-42.09576,1.397213,-35.59761,3.012006470786246,-0.1210944267758564,0.8488363984951253,13.85514,42.10447,183.652,0.3528287,-0.1238693,0.9273502,3
1.82,-42.07032,1.199574,-35.68435,2.9178799976020704,-0.1402506902320145,0.7757717967750297,14.69163,46.13793,183.8464,0.3844562,-0.1306093,0.9136503,3
1.84,-42.00063,1.376562,-35.59217,2.824823604298545,-0.1327844892715412,0.7065061763238223,18.18789,45.52164,184.2566,0.3763461,-0.1598325,0.9121802,3
1.86,-41.98057,1.182873,-35.63054,2.7177734723864244,-0.1540108974634752,0.6308773273166928,17.34063,47.36261,184.147,0.3918041,-0.1523306,0.9069262,3
