t,pX,pY,pZ,aX,aY,aZ,reX,reY,reZ,rtX,rtY,rtZ,ID
8.02,-41.30571,1.101702,-38.82837,2.8732618795935787,-0.0120011634518021,2.327762297082068,14.63772,356.356,163.6092,-0.01306312,-0.1305218,0.9818046,20
8.04,-41.30647,1.301531,-38.82785,2.9312114598171606,-0.0346033359191923,2.34710133064275,14.65492,356.3618,163.6321,-0.01301782,-0.1306595,0.9818144,20
8.06,-41.29903,1.155015,-38.81466,2.9859449677196235,-0.054394776256831,2.36170510084274,14.72266,358.6721,163.641,0.006852346,-0.1284495,0.9818143,20
8.08,-41.30008,1.354769,-38.81386,3.037844097666888,-0.0496412508186221,2.374504769730218,14.74787,358.6804,163.6735,0.006918044,-0.1286572,0.9818258,20
8.1,-41.26886,1.156085,-38.74383,3.0864609062352333,-0.0222634430492666,2.385184521885935,17.90697,0.5741607,165.4815,0.02457515,-0.1537577,0.9797866,20
8.12,-41.28265,1.351334,-38.72247,3.1244277745954294,-0.0406123343347409,2.382677072111816,18.55282,0.7149383,165.9315,0.02585138,-0.1592271,0.9793517,20
8.14,-41.17487,1.173872,-38.62601,3.159860121085333,-0.0348656605811303,2.378726056507678,16.73805,6.59304,167.8294,0.07197439,-0.1384576,0.9812613,20
8.16,-41.17196,1.368738,-38.59419,3.192297489608011,-0.0069423161050498,2.3730245260462235,17.70331,6.60059,167.8549,0.07281563,-0.1467419,0.979979,20
8.18,-41.08382,1.186414,-38.50959,3.2187326688198308,-0.0255020171065611,2.359695735999865,12.82967,12.08008,169.814,0.114015,-0.1013849,0.9832773,20
8.2,-41.06967,1.374948,-38.44865,3.236047680446629,-0.043143157405629,2.3396810600605225,14.71136,12.07206,169.7803,0.1152137,-0.1175242,0.9811535,20
8.22,-40.90804,1.210409,-38.3191,3.2508259615300004,-0.0370928767636291,2.318431413679578,3.671384,21.23908,173.0016,0.1857703,-0.02018404,0.9801766,20
8.24,-40.87663,1.38864,-38.22928,3.2649123307608727,-0.053189816183443,2.2961556578344293,6.505599,21.24776,173.0995,0.1870867,-0.04459049,0.9788671,20
8.26,-40.74461,1.225258,-38.13938,3.275980908777985,-0.0460936434593757,2.2728487566131363,0.9289994,26.16325,175.5064,0.2264671,0.0009826906,0.973196,20
8.28,-40.69608,1.390349,-38.02013,3.2836141706764286,-0.0176809368546203,2.2482127944447017,4.742299,26.17656,175.7752,0.2275898,-0.0319305,0.9721817,20
8.3,-40.64849,1.551381,-37.90316,3.2714634918735053,-0.0399706218196915,2.208838060569234,8.557469,26.20806,176.0471,0.2284596,-0.06482515,0.9700845,20
8.32,-40.45985,1.269774,-37.87603,3.247293299297424,-0.0626056561398006,2.1605501232660567,354.9914,32.56813,179.9916,0.2801289,0.04196215,0.9589676,20
8.34,-40.37658,1.262508,-37.85366,3.2211529548232365,-0.0612552297493602,2.111947785876421,355.7007,35.52945,180.6456,0.3050908,0.03400265,0.9515677,20
8.36,-40.31719,1.427059,-37.74985,3.1850648662884886,-0.0857546283185742,2.056467931494624,359.176,35.51378,180.9964,0.305019,0.004196006,0.9522794,20
8.38,-40.25945,1.250165,-37.76471,3.147463370559233,-0.0858525735499903,2.0010408608035384,359.446,38.24725,181.4261,0.3276352,0.0004900338,0.9447102,20
8.4,-40.19296,1.41476,-37.66157,3.1080060915931966,-0.0634535400715426,1.9454554870177256,3.03563,38.25468,181.7693,0.3271284,-0.03007984,0.9444827,20
8.42,-40.10954,1.237528,-37.65361,3.044735825388945,-0.0907229877473229,1.8742737714732345,6.205358,41.84543,182.6691,0.3553107,-0.05884779,0.932891,20
8.44,-40.03685,1.40456,-37.5537,2.973880325218732,-0.1186963470192871,1.7994544140377453,9.838666,41.89794,183.0451,0.3539657,-0.0895214,0.9309453,20
8.46,-40.01382,1.226144,-37.5738,2.9029159043905537,-0.1207690445803057,1.7255492493922011,10.34101,43.6203,183.2704,0.3674823,-0.09419387,0.9252214,20
8.48,-39.93935,1.396588,-37.47767,2.814870330844036,-0.1496806635548831,1.6410710051657151,13.93473,43.70053,183.6518,0.3656589,-0.1243033,0.9222765,20
8.5,-39.9395,1.208486,-37.52206,2.7275125936425395,-0.1518863593957412,1.5580843392803825,13.42669,45.59503,183.6813,0.3811588,-0.1200744,0.9165418,20
8.52,-39.86393,1.383007,-37.42934,2.6276602740302213,-0.182209106861808,1.468702182618114,16.9868,45.7054,184.1019,0.3789873,-0.1497615,0.9128692,20
8.54,-39.84099,1.182736,-37.4489,2.521190903221048,-0.2115875102361274,1.3762809687662925,17.38961,47.34133,184.1116,0.391643,-0.1526003,0.9069375,20
8.56,-39.76442,1.363244,-37.36052,2.416300440731036,-0.2127646315176438,1.2860210641350092,20.9113,47.48188,184.5398,0.389027,-0.1816679,0.9023635,20
8.58,-39.76873,1.167714,-37.38563,2.312909683608469,-0.1877636713702301,1.1979327230336336,20.12723,47.30866,184.2939,0.3887712,-0.1747474,0.9038833,20
8.6,-39.69208,1.352177,-37.29974,2.187265032050236,-0.218758751889135,1.0967038183042035,23.62398,47.44845,184.669,0.385855,-0.2032879,0.8987178,20
8.62,-39.71348,1.152393,-37.33813,2.0645232281724937,-0.2203644459822453,0.9987083185828912,23.05903,46.89318,184.3079,0.382698,-0.1978928,0.9012734,20
8.64,-39.63704,1.340829,-37.25429,1.9446889454867016,-0.1946406085213999,0.9040162460061154,26.53611,47.02418,184.6201,0.3794954,-0.2259323,0.8954644,20
8.66,-39.62929,1.132022,-37.26289,1.809957232452434,-0.2261454342752503,0.802528527274216,28.04941,45.79871,184.2015,0.3690776,-0.2369299,0.8965865,20
8.68,-39.55223,1.325842,-37.18226,1.6718714512872097,-0.255379876879991,0.7001334653807945,31.50906,45.87424,184.3535,0.3653122,-0.2641146,0.8897169,20
8.7,-39.55167,1.124473,-37.19592,1.538184146805719,-0.2539017587654961,0.6020998227818053,32.10707,44.65411,183.6601,0.3567234,-0.2673319,0.8918594,20
8.72,-39.47309,1.118599,-37.13447,1.405437179361928,-0.2802613901312619,0.505257516906445,37.42588,44.1757,183.0431,0.3481309,-0.3066329,0.88052,20
8.74,-39.39149,1.31728,-37.06238,1.2774800872507075,-0.2755350785794889,0.4132339858839975,40.81535,43.9599,182.7012,0.3430714,-0.331531,0.8719472,20
8.76,-39.31004,1.513027,-36.99043,1.1544729127468,-0.2418264991264548,0.3262175957812374,44.20268,43.70393,182.3226,0.3377115,-0.3561298,0.8626099,20
