t,pX,pY,pZ,aX,aY,aZ,reX,reY,reZ,rtX,rtY,rtZ,ID
3.74,-42.31343,1.104166,-36.85756,2.31591004104041,-0.1440120466931858,1.274941016952547,13.38211,356.4897,163.841,-0.01374908,-0.1195804,0.983371,12
3.76,-42.33004,1.306041,-36.90142,2.362158308928332,-0.1607111494132807,1.2920724268382404,11.96868,355.5109,164.2464,-0.02430728,-0.1085318,0.9849707,12
3.78,-42.37652,1.496058,-36.85644,2.4028073384229094,-0.1497859823106192,1.3063135505508183,13.65202,352.9992,165.2325,-0.04487407,-0.1254402,0.9837738,12
3.8,-42.32554,1.157609,-36.62397,2.437865126326216,-0.1128608611291697,1.317333542898414,15.0362,356.1362,162.84,-0.01353933,-0.1342878,0.9804093,12
3.82,-42.31768,1.157331,-36.59975,2.483419988208744,-0.1256476083361583,1.3362084415247866,16.45042,356.2695,164.0658,-0.01208421,-0.1460734,0.9802867,12
3.84,-42.3235,1.356766,-36.6004,2.5236536252217725,-0.1115788494614129,1.3518642503952565,16.75952,353.7176,163.9386,-0.03335144,-0.1516612,0.9792657,12
3.86,-42.25196,1.170774,-36.50593,2.5613857522323027,-0.1221784188129803,1.3609619285810624,17.19883,358.0754,166.7555,0.000746045,-0.1504217,0.9823121,12
3.88,-42.21884,1.177383,-36.46484,2.59319616771132,-0.1062270861297414,1.3680404348326205,16.11838,359.4363,167.6107,0.01028586,-0.1399013,0.9844051,12
3.9,-42.22735,1.375855,-36.45863,2.61903522277615,-0.0653275494884692,1.3727144362133297,16.55122,356.8251,167.4406,-0.0115115,-0.146015,0.9837081,12
3.92,-42.1207,1.203714,-36.34789,2.64643498045604,-0.0789094762705264,1.3807286188423378,8.192429,3.693033,170.648,0.03785306,-0.06853676,0.9934218,12
3.94,-42.0744,1.212454,-36.28992,2.668577960602196,-0.0656359278991272,1.3846190638548306,5.552282,4.324939,171.4121,0.04120701,-0.0454416,0.9951769,12
