t,pX,pY,pZ,aX,aY,aZ,reX,reY,reZ,rtX,rtY,rtZ,ID
5.32,-44.30582,1.101693,-35.82856,3.473045411630963,-0.1238058617400217,0.6950403061502604,14.60389,356.3863,163.598,-0.01283335,-0.1301972,0.9818307,13
5.34,-44.30658,1.301527,-35.82808,3.543939464200119,-0.1390274808465368,0.659490712355919,14.62012,356.3921,163.6207,-0.01278956,-0.1303267,0.9818413,13
5.36,-44.2944,1.155002,-35.80755,3.6122370715165184,-0.1295676208685349,0.6238881086917818,14.67972,0.1442313,163.6261,0.01942833,-0.1262748,0.9816744,13
5.38,-44.28078,1.154213,-35.77464,3.677342552367264,-0.0973558796201666,0.5882073018903773,16.57779,1.59129,164.6203,0.03290636,-0.1410154,0.9802923,13
5.4,-44.29222,1.351317,-35.76457,3.7304538660686015,-0.1098541755662655,0.5468775632625924,16.87441,1.698665,164.9934,0.03369487,-0.1435383,0.9803157,13
5.42,-44.18843,1.168109,-35.67924,3.770429964763556,-0.1210209328759209,0.503832843884882,17.66088,7.593963,166.8867,0.08249868,-0.1447001,0.9783685,13
5.44,-44.14155,1.172251,-35.62655,3.808161790201948,-0.1082383765791721,0.4611648814861508,16.99644,10.27762,167.7959,0.1037294,-0.1369342,0.9780572,13
5.46,-44.13464,1.36542,-35.58522,3.839871908101241,-0.1182341336648762,0.4179329355045418,18.26322,10.28367,167.8158,0.1047608,-0.1477808,0.9762906,13
5.48,-44.03533,1.186378,-35.53307,3.869103487741184,-0.1045193917737834,0.3751643936589319,12.77776,16.36899,169.7923,0.1507145,-0.09712002,0.9783583,13
5.5,-44.01684,1.374991,-35.47367,3.884544926802283,-0.1144983975555727,0.3319478509881026,14.64859,16.36161,169.7611,0.1518332,-0.1130906,0.9762125,13
5.52,-43.90416,1.201196,-35.4346,3.902363667556962,-0.122541406625183,0.2911480671262145,7.017958,22.76398,171.8948,0.2007272,-0.0459303,0.9751953,13
5.54,-43.74994,1.217358,-35.3418,3.917594971669697,-0.1075713553082293,0.2515850434337876,2.340084,28.59898,174.2061,0.2476233,-0.0072816,0.9673228,13
5.56,-43.70123,1.38901,-35.2396,3.92022701528524,-0.1160112548093167,0.2125195426518278,5.703204,28.61189,174.3901,0.2488569,-0.03607174,0.9660292,13
5.58,-43.54361,1.243185,-35.20121,3.9202585141518345,-0.1015099329466912,0.1750573603970382,358.9904,33.70623,176.873,0.2895699,0.01633868,0.9567275,13
5.6,-43.47577,1.40155,-35.07724,3.897696327322055,-0.1146127157549557,0.1367353094598034,3.139738,33.71302,177.2375,0.2904148,-0.01922403,0.9562054,13
5.62,-43.31389,1.271698,-35.1636,3.869547078930631,-0.1293808527913902,0.0997355135350197,353.862,40.46806,180.0844,0.3453964,0.04997988,0.9369283,13
5.64,-43.24992,1.437605,-35.06883,3.8393974982958223,-0.1202617449925461,0.0644084234302582,357.1611,40.43872,180.4591,0.3455996,0.02186057,0.9380465,13
