t,pX,pY,pZ,aX,aY,aZ,reX,reY,reZ,rtX,rtY,rtZ,ID
0.46,-44.30596,1.101689,-38.82871,3.2072166408612173,-0.0582026638931033,1.326079489452333,14.57449,356.4071,163.5857,-0.0126789,-0.129922,0.9818491,1
0.48,-44.30671,1.301524,-38.82822,3.2778012932728178,-0.0692295776467301,1.300061233714734,14.59069,356.4127,163.6081,-0.01263545,-0.1300514,0.9818596,1
0.49,-44.29663,0.9551876,-38.81348,3.344122841475601,-0.0779820052252968,1.2712476202002927,14.55828,359.3285,163.5633,0.01235815,-0.1262311,0.9818435,1
0.5,-44.2973,1.154984,-38.81248,3.4081741255303024,-0.0624511196467331,1.2431043072967567,14.64256,359.2848,163.6162,0.01203057,-0.1270123,0.981821,1
0.52,-44.28719,1.153817,-38.77841,3.5034528698525023,-0.0663560323424575,1.284807190035055,16.59249,0.295041,164.6422,0.02180528,-0.1426565,0.9806088,1
0.54,-44.29996,1.350538,-38.76684,3.5941576182256565,-0.0464423373179017,1.3210194491821614,16.9427,0.4130653,165.0513,0.022698,-0.1455984,0.9806103,1
0.56,-44.19688,1.168061,-38.67647,3.6720857636958497,-0.0504787703843949,1.3494306626621846,17.61978,6.128499,166.8669,0.069968,-0.1458932,0.9793794,1
0.58,-44.15273,1.172191,-38.62186,3.745177147077465,-0.0310102713585935,1.3743681806857817,16.95277,8.709053,167.7694,0.09032824,-0.1381398,0.9794173,1
0.6,-44.14687,1.36535,-38.58024,3.8036424739071126,-0.0355981638200264,1.3889100095117302,18.22357,8.714388,167.7871,0.09138691,-0.1490277,0.9776616,1
0.62,-44.0522,1.186261,-38.52221,3.8625258705277217,-0.0393262667445396,1.3989809500723691,12.74723,14.7989,169.7662,0.1372984,-0.09823292,0.9803407,1
0.64,-43.9944,1.192914,-38.47936,3.9141888506464255,-0.0424255153330202,1.4042641648587475,9.813399,18.0915,170.8062,0.1629128,-0.07164347,0.9797012,1
0.66,-43.86307,1.209525,-38.38167,3.9607292896703328,-0.0226830802785497,1.407616756828383,3.709304,24.33819,172.959,0.2122322,-0.01863988,0.9747552,1
0.68,-43.7802,1.216163,-38.31136,3.9952437731003823,-0.0263402426766854,1.4020422053697985,2.448138,27.00464,174.2101,0.2341826,-0.00895601,0.9706461,1
0.7,-43.6965,1.224794,-38.25436,4.024717160473395,-0.0073788964621106,1.3951415478568832,0.9027583,29.67509,175.5316,0.2561736,0.002373163,0.9658124,1
0.72,-43.49033,1.263464,-38.11094,4.037453877891531,-0.0161470957149311,1.3764652319100072,357.0645,34.53715,178.3708,0.296376,0.02867571,0.9546222,1
0.74,-43.39277,1.274135,-38.04853,4.045216540794045,-0.001687788162246,1.3566929899799591,354.5316,36.95427,180.1314,0.3166171,0.0448806,0.9473527,1
0.76,-43.32195,1.425983,-37.91662,4.0373253481910165,-0.0137917491408685,1.3269077084820626,358.8344,36.91606,180.7912,0.3166527,0.007462216,0.9484621,1
