t,pX,pY,pZ,aX,aY,aZ,reX,reY,reZ,rtX,rtY,rtZ,ID
6.72,-41.14962,1.127193,-35.89025,3.671975750695058,-0.1842121677332783,0.1506481976076257,12.40523,357.2039,159.3254,-0.004479186,-0.1106117,0.9781916,17
6.74,-41.00579,1.345461,-35.94978,3.7055602936153607,-0.1793805258597814,0.1278454461731604,10.42534,358.2337,155.3821,0.004369674,-0.0920259,0.9731548,17
6.76,-40.86281,1.558637,-36.01492,3.735270438244898,-0.1955226391573487,0.1035875235219556,8.391103,359.3586,151.4014,0.01266014,-0.0722718,0.9665082,17
6.78,-40.85668,1.15691,-36.01176,3.761359642253821,-0.1864965742436054,0.0761436566338344,14.48962,9.666972,163.3667,0.1008845,-0.1122488,0.9765564,17
6.8,-40.8403,1.358316,-36.00627,3.783332197304872,-0.1542229936588182,0.0455942204794572,14.35754,12.17597,163.1667,0.122279,-0.1075208,0.9740002,17
6.82,-40.82352,1.559721,-36.0014,3.791137613197672,-0.1670339017627645,0.0158397310385414,14.23487,14.68062,162.9577,0.1435873,-0.1027463,0.9709527,17
6.84,-40.66091,1.169726,-35.91143,3.79646234898365,-0.1555752293107108,-0.017444705628991,17.54651,24.11269,166.6131,0.2224084,-0.1240827,0.9561995,17
6.86,-40.58836,1.174717,-35.87853,3.798726514006658,-0.1217885136317193,-0.0541380759940297,16.78086,27.83415,167.433,0.2520153,-0.114741,0.9506461,17
6.88,-40.54756,1.369993,-35.84905,3.7906874311149066,-0.1340397033423516,-0.0858727737356499,17.9383,29.46975,167.0517,0.2666351,-0.1214859,0.9447249,17
6.9,-40.50593,1.56466,-35.82041,3.780156104709828,-0.1223109238681744,-0.1210994720194271,19.12712,31.06936,166.6732,0.2808896,-0.128346,0.9384975,17
6.92,-40.35617,1.195386,-35.79576,3.768132608813703,-0.1330493138979258,-0.1533090490593673,9.476551,41.02412,170.8174,0.3542795,-0.04916549,0.9280855,17
6.94,-40.298,1.383826,-35.75554,3.7502449708208863,-0.1424789180519456,-0.1856138217982037,11.38108,42.41523,170.5953,0.3663323,-0.06261943,0.9216186,17
6.96,-40.23864,1.571163,-35.71727,3.729921204863469,-0.1286362388953953,-0.2210393495023304,13.29404,43.8173,170.3797,0.3783198,-0.07593641,0.9146763,17
6.98,-40.17924,1.757318,-35.68028,3.6958956932317335,-0.1378613325069839,-0.2515257793560188,15.21189,45.21264,170.2041,0.3900566,-0.08921221,0.9073603,17
7.0,-39.83835,1.247398,-35.70804,3.659763001150448,-0.1238880663625515,-0.2849807473542718,358.5426,59.93536,176.8208,0.4989733,0.0248691,0.8660803,17
7.02,-39.71652,1.261958,-35.69117,3.610679090760523,-0.1382917475644823,-0.311704029048526,357.216,62.21966,178.4115,0.5161899,0.02795633,0.8560176,17
7.04,-39.57617,1.411448,-35.61314,3.559575245938559,-0.1286961540816611,-0.3414104708520122,1.789108,63.65572,179.0255,0.5273985,-0.00878009,0.8494322,17
