t,pX,pY,pZ,aX,aY,aZ,reX,reY,reZ,rtX,rtY,rtZ,ID
2.38,-42.30582,1.101693,-39.82856,2.87299470895897,-0.1191520189142769,-1.280244688082286,14.60409,356.3862,163.5981,-0.01283456,-0.130199,0.9818304,7
2.4,-42.30658,1.301527,-39.82808,2.9147661042595354,-0.0848164453797674,-1.2441988342107813,14.62031,356.3919,163.6207,-0.0127908,-0.1303285,0.981841,7
2.42,-42.28102,1.15422,-39.77562,2.9701909105893947,-0.0948636898243718,-1.2093528056330554,16.58147,1.402959,164.6223,0.03129703,-0.1412681,0.9803427,7
2.44,-42.29249,1.351324,-39.76558,3.0168150752902747,-0.0804935507259397,-1.159999121835198,16.87827,1.510331,164.9953,0.03208563,-0.1437875,0.9803668,7
2.46,-42.30394,1.548371,-39.75556,3.058053572069694,-0.0890284761202486,-1.110990391150608,17.17442,1.619891,165.3694,0.03287373,-0.1463048,0.9803748,7
2.48,-42.19217,1.168111,-39.6762,3.089739125547924,-0.0733349682486175,-1.0477882459789152,17.66109,7.404175,166.8866,0.08087846,-0.1449048,0.9785033,7
2.5,-42.14552,1.172254,-39.6279,3.1148884140347395,-0.0816600050926791,-0.9879912896984636,16.99607,10.08758,167.796,0.1021068,-0.1371264,0.9782285,7
2.52,-42.0442,1.186756,-39.54583,3.139630266575227,-0.0888683474860279,-0.9192313046194228,12.68946,16.17302,169.8382,0.1489469,-0.09659991,0.9787496,7
2.54,-41.97702,1.193554,-39.48472,3.153564138831685,-0.072398164231266,-0.836054464948039,9.737254,19.47697,170.8679,0.1746653,-0.0699656,0.9777743,7
2.56,-41.95209,1.378447,-39.41282,3.161621388017445,-0.0795442322361253,-0.7531150396519823,12.01763,19.47977,170.8827,0.1759139,-0.08947412,0.9756627,7
2.58,-41.82889,1.209678,-39.36907,3.157735344073254,-0.0633399836844857,-0.6559167175924836,3.732103,25.70987,172.9757,0.2238926,-0.01806516,0.9721457,7
2.6,-41.74628,1.21636,-39.31583,3.1486569707875667,-0.0705472396470894,-0.5636851360676642,2.458317,28.38526,174.2288,0.2458624,-0.008429878,0.9677601,7
2.62,-41.55721,1.244923,-39.20377,3.1314893653919595,-0.0773712959533501,-0.4724375064503343,358.7967,33.50085,176.8846,0.2878076,0.01788534,0.9572449,7
2.64,-41.49365,1.405467,-39.08459,3.1076585879681247,-0.0608323562227114,-0.3702388930995663,2.752722,33.50594,177.2605,0.2886302,-0.01610539,0.9568412,7
2.66,-41.32732,1.271838,-39.06823,3.0835964807294287,-0.0732094162302542,-0.2825625303747552,354.7783,38.46679,180.0442,0.3290916,0.04288282,0.9431987,7
2.68,-41.28425,1.271534,-39.09238,3.0517513964494256,-0.08613440881518,-0.196585434092877,353.8866,40.60812,180.0565,0.346533,0.04983969,0.936521,7
2.7,-41.2188,1.437232,-38.99778,3.0127218007428462,-0.074553559296762,-0.1005294758414336,357.2112,40.58128,180.4021,0.3467577,0.02160735,0.9376325,7
2.72,-41.10526,1.250236,-39.07801,2.972388435881525,-0.0898227634873122,-0.0135702619303366,359.4192,46.46367,181.4812,0.3944748,-0.0004414094,0.9188021,7
2.74,-41.02653,1.414928,-38.98458,2.924770842882923,-0.1047255307200614,0.0735545827643013,2.986331,46.47204,181.8799,0.3939399,-0.03041057,0.9186207,7
2.76,-41.07763,1.290653,-39.23021,2.8708388940055274,-0.0945362033064525,0.1705568846507148,358.0889,50.93893,180.1409,0.4299885,0.01452729,0.9026797,7
2.78,-41.11808,1.510075,-39.35236,2.810244085809699,-0.0610553896339938,0.2765994871976591,355.4793,51.23467,178.5443,0.4315356,0.04104829,0.9011442,7
2.8,-41.20726,1.249263,-39.77935,2.7396772312944204,-0.0807567362392447,0.3570524905219816,6.285094,54.9911,182.0255,0.460054,-0.05676852,0.8860219,7
2.82,-41.1828,1.242132,-39.80661,2.660164348252814,-0.100623239594321,0.4311548550702504,8.451383,56.53823,182.2829,0.4709396,-0.07429321,0.8788596,7
2.84,-41.12956,1.434685,-39.80513,2.576417131155311,-0.0940486228522354,0.5148682078447022,9.784072,56.09375,181.3814,0.4675396,-0.08090568,0.8797678,7
2.86,-41.08502,1.210804,-39.8812,2.488359665214536,-0.116616043157944,0.58109449095274,13.18439,61.93318,182.7278,0.5086484,-0.110577,0.8529629,7
2.88,-41.05261,1.199654,-39.8943,2.393441622582144,-0.138731037153062,0.643633555253234,14.76838,63.10886,182.955,0.515972,-0.122864,0.8465296,7
2.9,-40.98309,1.391428,-39.88714,2.295948458074326,-0.1329717976939931,0.7153603367263619,16.75151,62.12776,182.0368,0.5081916,-0.1338285,0.8486583,7
2.92,-40.9901,1.182232,-39.91675,2.1953321517264017,-0.1566919719101586,0.7725928332484431,17.57148,64.13116,183.3418,0.5206631,-0.1446813,0.8395059,7
2.94,-40.93834,1.164563,-39.92853,2.0902499561853194,-0.1796504368600248,0.8282780479720522,20.67797,64.87794,183.6568,0.5225901,-0.1682272,0.8329089,7
2.96,-40.85881,1.356961,-39.90099,1.9839454673697856,-0.1733056793402975,0.8928005521927993,23.28314,63.84474,183.241,0.512842,-0.1858484,0.8339906,7
2.98,-40.86264,1.148176,-39.93411,1.8707592995239697,-0.1958609695923401,0.9451185992459656,23.72092,64.93858,183.6456,0.5196051,-0.1900243,0.8287597,7
3.0,-40.83993,1.141342,-39.9395,1.7574132384757988,-0.1884785844377761,1.006147048464323,25.42229,64.96767,183.5787,0.5178481,-0.2018781,0.826158,7
3.02,-40.76072,1.337901,-39.91626,1.637167891553923,-0.2096605186220584,1.0545088460947047,27.99536,63.8608,183.0627,0.5075144,-0.2189248,0.8266146,7
3.04,-40.71642,1.140236,-40.22102,1.5197338540325136,-0.2295188982921211,1.1024906242839512,27.564,59.14148,174.462,0.4887396,-0.1838023,0.8380406,7
3.06,-40.44868,1.132545,-40.70934,1.4021103880879453,-0.2473310137983608,1.1498496131811162,33.03681,57.71349,178.1357,0.4666927,-0.2414584,0.837339,7
3.08,-40.36388,1.336859,-40.77126,1.2866507407525587,-0.2342843150965087,1.2044392668923587,34.27478,50.77893,174.3906,0.4222672,-0.2458359,0.8560873,7
3.1,-40.36172,1.118501,-40.67043,1.1732218407523174,-0.1924597117623893,1.2660852039018309,39.12835,55.64878,182.062,0.4344157,-0.3040122,0.8360019,7
3.12,-40.2609,1.115736,-40.65883,1.0608308834955311,-0.2091665856193924,1.3138520117077048,43.09579,53.81199,181.3718,0.4169504,-0.332536,0.8313568,7
3.14,-40.17763,1.317737,-40.62579,0.9514120395551036,-0.1947700427669342,1.3682454790384364,46.19199,48.12235,180.1684,0.3745065,-0.3587392,0.8401581,7
3.16,-40.12552,1.114442,-40.62849,0.8448992886227105,-0.1513381476927899,1.4291038912645817,46.30439,48.49073,179.9866,0.3776152,-0.3584509,0.838344,7
3.18,-40.04373,1.31651,-40.5869,0.7404686722315406,-0.1668357099275966,1.4818225469108477,49.46677,42.682,178.6732,0.3350236,-0.3858544,0.8441664,7
3.2,-39.98789,1.110585,-40.58311,0.6385404996883821,-0.1802761813876507,1.5372728926307406,50.6549,44.62489,178.3609,0.348789,-0.3908124,0.8337935,7
3.22,-39.93187,1.107716,-40.56563,0.5501413353858595,-0.1910219847800969,1.6043924700938783,53.29556,44.8387,177.3182,0.3504811,-0.4065152,0.8219972,7
3.24,-39.8548,1.307545,-40.51809,0.4641706843516022,-0.1718100820364239,1.6770256857284442,56.43472,38.67637,175.677,0.3084097,-0.4348189,0.8249488,7
3.26,-39.66472,1.105159,-40.43449,0.3864448286706547,-0.1770263786518087,1.7528767359962003,61.17746,37.12418,170.7599,0.3119995,-0.45876,0.8003612,7
3.28,-39.57962,1.109804,-40.38897,0.3109571642559725,-0.1530020024563359,1.833797959186512,62.59441,33.11337,167.4301,0.2965443,-0.46829,0.7979276,7
3.3,-39.51619,1.299977,-40.3276,0.2432810791146069,-0.1510710452543914,1.914822298627852,65.50475,25.36298,164.1558,0.2556136,-0.4973277,0.7963005,7
3.32,-39.41264,1.129783,-40.29419,0.1800791104311701,-0.1444091191817157,1.9950526020694124,60.8507,28.66723,166.3138,0.2704156,-0.46172,0.8145576,7
3.34,-39.25551,1.162693,-40.21198,0.1195880293413225,-0.109812923240019,2.080331061097488,55.65634,29.57378,168.4241,0.270076,-0.4262982,0.838689,7
3.36,-39.18092,1.179199,-40.16483,0.0774230746961937,-0.0932627920133032,2.1670425831920186,51.95265,31.16323,170.8895,0.2742192,-0.4013921,0.8538576,7
3.38,-39.13149,1.35901,-40.08715,0.042286045287966,-0.0726897354786373,2.25263856255009,54.87332,24.64156,168.7286,0.2326747,-0.4293814,0.8532331,7
3.4,-39.08656,1.537192,-40.00994,0.0102504333886672,-0.0260759853828958,2.344963335004495,57.61849,17.42418,165.7994,0.1905824,-0.4562767,0.8504546,7
3.42,-38.88301,1.240367,-40.02536,-0.011394072866647,-0.030355803113384,2.424411808406949,31.91112,36.26519,175.0207,0.3102932,-0.2479954,0.9091486,7
3.44,-38.82999,1.4119,-39.93037,-0.0231249409849096,-0.0108145445329285,2.494266330695255,35.27387,30.83157,173.825,0.2686911,-0.2780152,0.9130374,7
3.46,-38.75378,1.258796,-39.93451,-0.0294172349772994,0.0040882847277241,2.5692628489079103,19.84519,35.14632,176.2144,0.3026708,-0.1543629,0.9368411,7
3.48,-38.70669,1.429554,-39.83593,-0.0242040723132346,-0.0355191281551971,2.6297344571766814,23.20875,30.04078,175.2792,0.2616517,-0.1836597,0.9431424,7
3.5,-38.63974,1.269066,-39.8558,-0.0306983879355735,0.003120756421496,2.6850141139259254,7.987747,35.38074,177.2632,0.3046333,-0.05909829,0.9496226,7
3.52,-38.52978,1.276359,-39.78936,-0.0272048743923232,0.0186738836645462,2.717369511373102,358.3252,36.58226,177.9408,0.313512,0.01951296,0.949302,7
3.54,-38.49124,1.44349,-39.68032,-0.0345731374893798,0.055994665514292,2.7433344299666507,1.861968,31.83347,177.4771,0.2744815,-0.009584645,0.9612033,7
3.56,-38.42008,1.285872,-39.66845,-0.0463301858384204,0.1144261195391922,2.7635691618921205,353.309,33.61973,178.4898,0.2879425,0.05966318,0.9557778,7
3.58,-38.39219,1.450626,-39.5535,-0.0508282490085152,0.0985079955166237,2.7497433895376444,356.8826,28.91081,178.1434,0.2490745,0.03037922,0.967967,7
3.6,-38.31958,1.294247,-39.56785,-0.0710777699629279,0.1051124555628586,2.717323725526694,352.8448,31.57829,179.0725,0.2710728,0.06224235,0.9605004,7
3.62,-38.26785,1.296387,-39.55522,-0.0956999754730283,0.1081755588463439,2.668674690720283,353.4676,32.87045,179.388,0.2821757,0.05615497,0.9576547,7
3.64,-38.20776,1.460982,-39.45772,-0.1422805655708705,0.1311503064638816,2.6047737069611303,357.0249,29.12607,178.203,0.2509353,0.02906431,0.9675289,7
3.66,-38.10346,1.265393,-39.5349,-0.1976224044378236,0.1038259032639947,2.50654077744316,355.6808,33.00424,179.4953,0.2836872,0.03738075,0.9581661,7
3.68,-38.05129,1.25831,-39.52645,-0.274711697890325,0.0949488646749281,2.395522319515126,357.312,33.23086,180.0817,0.2858838,0.02227223,0.9579771,7
3.7,-37.99685,1.427835,-39.43453,-0.3537419618533572,0.1100906837683168,2.2875733664244864,0.6535498,29.56277,179.0813,0.2551636,-0.003469054,0.966848,7
3.72,-37.9027,1.244048,-39.47311,-0.4408999666315276,0.0743171202326344,2.141805873912795,3.93206,32.06942,180.9546,0.2757728,-0.03527076,0.9605744,7
3.74,-37.85043,1.241369,-39.44896,-0.5390532065700864,0.0638696576108723,1.994382680993868,6.088305,31.11859,181.4548,0.2671859,-0.05455578,0.9620973,7
3.76,-37.7935,1.413267,-39.35509,-0.6469454940855446,0.0280945211023615,1.8213406500631728,9.545795,27.36118,180.4058,0.2354011,-0.08167995,0.9683236,7
3.78,-37.74102,1.582572,-39.26197,-0.7438569345157147,0.0348992128793627,1.683528794919923,12.9256,23.4984,179.1144,0.2031796,-0.1086328,0.9726204,7
3.8,-37.71427,1.22068,-39.40881,-0.8307834295638363,0.031948846426384,1.563446942931165,11.84038,28.66416,182.1824,0.2442736,-0.1046038,0.9640215,7
3.82,-37.68419,1.211536,-39.42905,-0.8981907805216673,0.0097190842725557,1.4735479430368468,13.40816,30.30775,182.506,0.2570986,-0.1183324,0.9590654,7
3.84,-37.62454,1.389913,-39.3381,-0.962433928708612,0.015348533853721,1.3927690841687204,16.88563,26.55645,181.5023,0.2252979,-0.1458633,0.9630782,7
3.86,-37.56745,1.185662,-39.43387,-1.0269167539186128,-0.0363977489698781,1.2950414173414693,17.39112,30.0546,182.922,0.2524928,-0.1525014,0.9553903,7
3.88,-37.53065,1.178159,-39.43836,-1.0918228141991406,-0.0287775115606444,1.2140382008004815,18.71724,29.92592,183.0861,0.2504352,-0.1639029,0.9540192,7
3.9,-37.46707,1.364087,-39.35252,-1.155198383909191,0.0062939616346498,1.140144323691472,22.171,26.03188,182.0513,0.2176312,-0.1912599,0.9567504,7
3.92,-37.40934,1.155356,-39.42953,-1.2154553028049806,-0.0452722204261625,1.0396252160982715,23.0524,26.82656,183.0791,0.2219912,-0.2004022,0.9540071,7
3.94,-37.36351,1.14771,-39.42015,-1.2665714281239806,-0.0378368827176346,0.948835517768031,24.58159,25.32252,183.0969,0.2084721,-0.2134083,0.9542328,7
3.96,-37.29792,1.341444,-39.33723,-1.316738327737962,-0.0002932800992342,0.8647907869100324,27.97968,21.24091,181.8597,0.1749561,-0.2404795,0.9543139,7
3.98,-37.27442,1.135014,-39.39868,-1.3606935790598191,-0.0493231232320347,0.753039073474814,28.04858,22.35204,182.9586,0.1818464,-0.2425131,0.9526901,7
4.0,-37.20803,1.332128,-39.31646,-1.394912867065166,-0.0382790732245215,0.6517125099218495,31.42706,18.05738,181.5691,0.1473876,-0.2695157,0.9511937,7
4.02,-37.19143,1.127183,-39.38105,-1.4180834953786992,-0.0546723441906822,0.5484052034629947,32.0704,20.54144,182.5433,0.165288,-0.2755377,0.9465523,7
4.04,-37.11132,1.12109,-39.36322,-1.4419561313573173,-0.0695563279345732,0.4468790000145803,37.31064,20.74018,181.9956,0.165043,-0.3175715,0.9328452,7
4.06,-37.05383,1.119713,-39.34658,-1.4614024646257402,-0.0275257869878453,0.395783856234063,39.5064,20.55672,181.5175,0.1635127,-0.3347404,0.9267713,7
4.08,-36.98254,1.322051,-39.27395,-1.4968311005789934,-0.0419489950710766,0.4055715246068425,42.64077,15.82055,179.6188,0.1294008,-0.3596947,0.9225265,7
4.1,-36.91428,1.521787,-39.19878,-1.535802834702726,-0.055690871771596,0.4368721323946172,45.65393,10.72854,177.3138,0.09519537,-0.3841245,0.916542,7
4.12,-36.8554,1.11561,-39.26787,-1.5547432078948793,-0.0666484395443638,0.4606387897570938,46.282,21.66014,179.398,0.174804,-0.3850825,0.9027621,7
4.14,-36.78584,1.318634,-39.19681,-1.5783102973279242,-0.0746548421263711,0.4965458339166471,49.38894,16.71178,177.4396,0.1412334,-0.4102915,0.8973231,7
4.16,-36.71918,1.519193,-39.12331,-1.6060235435240937,-0.0817247287266817,0.5383871768173716,52.37244,11.29905,174.9756,0.1075033,-0.4348523,0.8902434,7
4.18,-36.66104,1.109256,-39.14948,-1.6263940865749964,-0.0877775444594255,0.5891954997969844,53.17968,17.05437,176.439,0.1462853,-0.4383189,0.8818594,7
4.2,-36.60321,1.105638,-39.10117,-1.6516441224295295,-0.0935099887204138,0.643585405663651,56.39962,17.01973,175.0007,0.1506735,-0.4612129,0.8677232,7
4.22,-36.47075,1.106304,-38.98756,-1.6678768662064645,-0.0941690657074947,0.7190352690394848,61.08033,12.99038,169.9608,0.1412289,-0.4944199,0.8474336,7
4.24,-36.41578,1.299865,-38.91156,-1.6863060814866415,-0.0649220777876861,0.7997263764140943,63.95169,6.30133,166.3948,0.1089255,-0.5195165,0.8375792,7
4.26,-36.32344,1.120306,-38.84826,-1.7095972187100283,-0.0379721032071322,0.8806201299813026,61.55848,5.955371,165.8165,0.1073809,-0.5016211,0.8481398,7
4.28,-36.27519,1.309389,-38.76917,-1.7381189086860251,-0.0292726826368627,0.9546645541267472,64.22704,358.6046,161.5916,0.07484391,-0.5263647,0.8370645,7
4.3,-36.19187,1.146655,-38.72166,-1.766765866757038,-0.0162865969352022,1.027577360541569,58.11243,4.283589,166.4999,0.08948733,-0.4781242,0.8653445,7
4.32,-36.13447,1.163662,-38.67893,-1.7899374186352777,-0.0246597985329191,1.1019306648040414,55.56762,6.202856,167.6456,0.09767304,-0.4576008,0.875574,7
4.34,-36.09351,1.345776,-38.59365,-1.8262221904591056,0.0178325546430066,1.176620214284414,58.30373,359.6686,164.245,0.06426117,-0.4828735,0.8652799,7
4.36,-35.94711,1.213475,-38.53022,-1.8645778735431413,0.0350933752139265,1.2386281286680925,42.94339,12.74096,173.0475,0.1251242,-0.3568511,0.9206882,7
