t,pX,pY,pZ,aX,aY,aZ,reX,reY,reZ,rtX,rtY,rtZ,ID
2.08,-45.41338,1.091625,-39.9353,2.876928779979464,-0.0769422345434879,2.227015910336199,11.72911,356.8663,166.9802,-0.01544512,-0.1045643,0.9882996,6
2.1,-45.49027,1.154478,-40.00608,2.9207443331509646,-0.0861074342159413,2.2995768069170115,14.91163,357.652,163.5358,-0.001530113,-0.1313064,0.9815034,6
2.12,-45.49001,1.353737,-39.99819,2.968630885655479,-0.092135222717235,2.366272589859092,15.20206,357.3477,163.4837,-0.003708698,-0.1341626,0.9811124,6
2.14,-45.45706,1.156327,-39.93739,3.0152420861815683,-0.0742597811753662,2.4267086323211045,17.88607,0.4832397,165.3277,0.02398126,-0.1536466,0.9796646,6
2.16,-45.38545,1.167461,-39.87447,3.053763863544906,-0.0800956391472285,2.475121595262209,17.88181,4.584836,166.7014,0.05722922,-0.1496714,0.9796993,6
2.18,-45.3442,1.172179,-39.82637,3.091757280533637,-0.0623791090704631,2.517379525795387,17.05301,7.128008,167.6337,0.07705732,-0.1404979,0.9803002,6
2.2,-45.33652,1.365296,-39.78295,3.118291340278841,-0.0687558103613806,2.547187089361567,18.42035,6.80026,167.5087,0.07557862,-0.1524574,0.9784892,6
2.22,-45.25148,1.185788,-39.7304,3.1357051921722947,-0.0745117247306589,2.5649193534503176,12.841,12.92744,169.7377,0.1213573,-0.1006633,0.9823285,6
2.24,-45.13817,1.200996,-39.63099,3.152181640502464,-0.0572320858016034,2.579650309984004,7.014871,19.06549,171.859,0.1691667,-0.04844741,0.9811417,6
2.26,-45.06509,1.20754,-39.55895,3.16834437499408,-0.0622508677483312,2.5850675581622715,3.983572,22.02957,172.961,0.1926811,-0.02232968,0.9787272,6
2.28,-45.03012,1.382576,-39.45853,3.176286441616514,-0.0673347585189052,2.5840629836899813,7.186571,21.74906,173.044,0.1916751,-0.05001225,0.9775897,6
2.3,-44.90358,1.224496,-39.41253,3.183996677231711,-0.0500139413715138,2.5793199968270315,0.9585721,27.0147,175.4873,0.2337012,0.001068144,0.9714754,6
2.32,-44.71121,1.262781,-39.2641,3.174863745092118,-0.0579331992024949,2.559552903041711,357.1355,31.57607,178.3652,0.2716235,0.02792984,0.9619734,6
